										AB_Fed#2_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
1A	2	b	342.492744	358.49154	346.048032	15.99879599999997	-1.66410801070095	350.195868	7.999397999999985	-18.320139963517025	
1A	2	b	359.084088	360.269184	360.269184	1.1850959999999873	-0.9927324549616321	359.676636	0.5925479999999936	-0.29337457901845365	
2A	2	b	0.0	14.221152	2.370192	14.221152	-1.095386291639091	7.110576	7.110576	-10.220838511799677	
2A	2	b	14.8137	31.405044	17.183892	16.591344	-1.7143963567852336	23.109372	8.295672	-29.359506803032094	
2A	2	b	31.997592	47.40384	34.367784	15.406248000000001	-1.5983636561448384	39.700716	7.703124000000001	-23.57335693290104	
2A	2	b	47.996388	60.439896	50.959128	12.443507999999994	-1.1209798229812722	53.921868	6.221753999999997	-14.915348912707268	
2A	2	b	61.032444	76.438692	63.402636	15.406248000000005	-0.7625155321904358	68.735568	7.7031240000000025	-9.497454712228782	
2A	2	b	78.216336	106.65864	94.80768	28.442304000000007	-0.4680753050492896	92.437488	14.221152000000004	-11.494391752440645	
2A	2	b	107.251188	139.841328	110.806476	32.590140000000005	-0.26111254401861306	123.249984	16.295070000000003	-9.16431900881915	
2A	2	b	142.804068	157.02522	143.989164	14.22115199999999	-0.16310227742375982	149.914644	7.110575999999995	-2.781469294535873	
2A	2	b	158.802864	173.024016	160.580508	14.22115199999999	-0.21721481466570047	165.91344	7.110575999999995	-2.6986430333047142	
2A	2	b	173.616564	209.761992	196.725936	36.14542799999998	-0.47540472799754063	191.393004	18.07271399999999	-9.044347944050681	
2A	2	b	210.35454	218.057664	212.132184	7.7031240000000025	-0.10444040186256132	213.909828	3.8515620000000013	-0.6323989040239311	
2A	2	b	218.650212	221.612952	219.835308	2.9627399999999966	-0.06429408076469745	219.835308	1.4813699999999983	-0.14250936280133475	
2A	4	a	223.390596	225.16824	224.575692	1.7776440000000093	0.05727021320067127	223.983144	0.8888220000000047	0.05594989750538648	
2A	4	a	225.760788	227.538432	226.353336	1.7776440000000093	0.08548782642254693	226.353336	0.8888220000000047	0.11572921604000364	
2A	2	b	229.908624	233.463912	229.908624	3.5552879999999902	-0.17805844067875398	231.686268	1.7776439999999951	-0.5564158850836334	
2A	2	b	234.05646	241.167036	239.389392	7.110576000000009	-0.26093439621435444	237.611748	3.5552880000000044	-1.6445774751131625	
2A	4	a	241.759584	244.129776	242.352132	2.370192000000003	0.1380376775265022	242.94468	1.1850960000000015	0.3255049437479558	
2A	2	b	244.722324	260.128572	253.610544	15.406248000000033	-0.221361026497096	252.425448	7.703124000000017	-3.5706434529002085	
2A	2	b	260.72112	267.239148	264.868956	6.518028000000015	-0.27931629196496566	263.68386	3.2590140000000076	-1.7372059531331945	
2A	2	b	267.831696	273.757176	272.57208	5.925479999999993	-0.158171283176487	270.794436	2.9627399999999966	-0.906772440694747	
2A	2	b	276.719916	289.163424	281.4603	12.443508000000008	-0.5185775487361184	282.645396	6.221754000000004	-5.156260226844647	
2A	2	b	289.755972	305.754768	293.903808	15.998796000000027	-1.1905303113140837	297.459096	7.9993980000000136	-14.40384247611793	
2A	2	b	308.12496	322.346112	309.902604	14.221152000000018	-1.9234645217313453	315.235536	7.110576000000009	-17.900780105091865	
2A	2	b	325.308852	340.122552	327.086496	14.813699999999983	-2.1173343343750335	332.419428	7.4068499999999915	-26.871656564005917	
2A	2	b	340.7151	354.936252	343.67784	14.221152000000018	-2.506418889841543	347.825676	7.110576000000009	-32.18781635191674	
2A	4	a	355.5288	357.306444	356.121348	1.7776440000000093	0.13035970738286817	356.121348	0.8888220000000047	0.21992474043613575	
2A	2	b	357.898992	360.269184	360.269184	2.3701919999999745	-1.427073728397548	359.084088	1.1850959999999873	-2.771085014298135	
3A	2	b	0.0	13.628604	0.592548	13.628604	-0.6546564056450923	6.518028	6.814302	-7.693974428506926	
3A	2	b	14.221152	29.6274	16.591344	15.406248000000001	-1.8003419040724107	21.924276	7.703124000000001	-23.795398640184462	
3A	2	b	31.997592	36.145428	33.182688	4.147836000000002	-0.5073699268377094	33.775236	2.073918000000001	-1.9549522190228088	
3A	2	b	36.737976	42.070908	40.293264	5.332932	-0.20904195932254765	39.108168	2.666466	-0.9055292039657283	
3A	2	b	42.663456	50.959128	44.4411	8.295672000000003	-0.22017876455088015	46.811292	4.147836000000002	-1.8660161261394084	
3A	2	b	51.551676	74.0685	60.439896	22.516824	-1.5367819519751102	62.810088	11.258412	-26.585103278894056	
3A	2	b	74.661048	81.179076	77.03124	6.518028000000001	-0.5770699078382657	77.623788	3.2590140000000005	-3.2668269555957012	
3A	4	a	81.771624	84.141816	81.771624	2.370192000000003	0.11528840707413579	82.95672	1.1850960000000015	0.24833616259108693	
3A	2	b	84.734364	87.697104	87.104556	2.9627399999999966	-0.138600972476409	85.91946	1.4813699999999983	-0.37498458490247755	
3A	2	b	89.474748	103.103352	93.622584	13.628603999999996	-0.2863735765724895	95.992776	6.814301999999998	-2.240019259930353	
3A	2	b	105.473544	138.656232	107.843736	33.182687999999985	-1.4045355270067592	122.064888	16.591343999999992	-24.162224417142774	
3A	2	b	139.24878	149.322096	142.804068	10.073315999999977	-0.3844058880292973	143.989164	5.0366579999999885	-3.110132221643873	
3A	2	b	151.692288	173.024016	158.802864	21.331728	-0.7714323046029454	162.358152	10.665864	-9.737661095545477	
3A	2	b	173.616564	184.282428	178.356948	10.665864	-0.17303450655096153	178.949496	5.332932	-1.7387485925846424	
