										AB_Unfed#2_Cloaca_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
17A	2	b	246.102304	254.171232	248.984064	8.068928	-0.061555338422741634	250.136768	4.034464	-0.36798098438218374	
17A	2	b	254.747584	273.7672	266.274624	19.019616000000013	-0.20918447595384615	263.969216	9.509808000000007	-4.152607530975832	
17A	2	b	274.343552	276.072608	274.343552	1.7290560000000141	-0.06379125099180838	274.919904	0.8645280000000071	-0.06514497026616017	
17A	4	a	276.64896	278.378016	277.225312	1.7290560000000141	0.02988158921914419	277.225312	0.8645280000000071	0.04875430764707711	
17A	2	b	278.954368	282.988832	280.683424	4.034464000000014	-0.088683405048545	280.683424	2.017232000000007	-0.30538086532512065	
17A	2	b	283.565184	298.550336	291.634112	14.985152000000028	-0.3670845892295538	291.05776	7.492576000000014	-5.401489840775813	
17A	2	b	299.126688	306.619264	303.161152	7.4925759999999855	-0.3330866269589672	302.5848	3.7462879999999927	-2.6614392311707853	
17A	2	b	307.195616	315.840896	311.806432	8.645280000000014	-0.7022071383171937	311.23008	4.322640000000007	-5.789071550761121	
17A	2	b	317.569952	327.944288	323.333472	10.374335999999971	-0.515738588774385	322.75712	5.187167999999986	-5.576493818545114	
17A	2	b	328.52064	342.353088	333.707808	13.832448	-0.33053450815242025	335.436864	6.916224	-4.589902313784581	
17A	2	b	342.92944	345.234848	342.92944	2.305408	-0.06338467882223808	344.082144	1.152704	-0.13178580308192012	
17A	2	b	345.8112	357.33824	352.151072	11.52704	-0.19340005092210566	351.57472	5.76352	-2.4041104539741687	
17A	2	b	357.914592	366.559872	363.10176	8.645279999999957	-0.441412024121532	361.949056	4.3226399999999785	-4.190267217745722	
17A	4	a	367.136224	372.899744	370.017984	5.763519999999971	0.21551309725516354	370.017984	2.8817599999999857	1.2557401775632417	
17A	2	b	373.476096	380.968672	377.51056	7.492576000000042	-0.35901441699785597	376.934208	3.746288000000021	-2.8813316317798767	
17A	4	a	381.545024	390.190304	387.884896	8.645280000000014	0.3783021726967677	385.579488	4.322640000000007	3.3505539227823498	
17A	2	b	390.766656	395.377472	393.072064	4.610816	-0.2389066027190272	393.072064	2.305408	-1.1084832666059845	
17A	2	b	395.953824	407.480864	400.56464	11.52704	-0.8945692198785578	401.717344	5.76352	-12.522886875746009	
17A	2	b	408.057216	414.97344	411.515328	6.916224	-0.8158801920692671	411.515328	3.458112	-5.965340796902698	
17A	4	a	415.549792	435.722112	421.313312	20.172319999999957	0.5699417115617056	425.347776	10.086159999999978	12.582816947184696	
17A	2	b	441.485632	458.19984	448.978208	16.714207999999985	-0.3131107340184496	449.55456	8.357103999999993	-5.7417150199142775	
17A	2	b	461.0816	469.150528	463.387008	8.068928000000028	-0.18364322808039457	465.116064	4.034464000000014	-1.020834599201062	
17A	2	b	472.032288	474.337696	472.60864	2.305408	-0.21507434712713458	473.184992	1.152704	-0.4877061136938292	
17A	2	b	476.066752	481.830272	477.795808	5.763519999999971	-0.71572187794626	478.948512	2.8817599999999857	-3.706127126582632	
17A	4	a	482.406624	485.864736	484.712032	3.4581119999999714	0.09966020673987952	484.13568	1.7290559999999857	0.3234589143755642	
17A	2	b	486.441088	491.628256	486.441088	5.187168000000042	-0.2994287547425891	488.746496	2.593584000000021	-1.481512963853528	
17A	2	b	495.086368	499.120832	495.086368	4.034464000000014	-0.25818656603062706	496.815424	2.017232000000007	-0.855724949314455	
17A	2	b	499.697184	507.18976	502.578944	7.4925759999999855	-0.589136453677253	503.155296	3.7462879999999927	-4.634559279851425	
17A	2	b	510.07152	518.7168	516.411392	8.645280000000014	-0.5144376212006003	514.105984	4.322640000000007	-3.544898724362202	
17A	2	b	522.174912	525.633024	522.174912	3.4581120000000283	-0.22141211094614288	523.903968	1.7290560000000141	-0.7078135976726516	
17A	2	b	526.209376	531.972896	529.091136	5.763519999999971	-0.6162742512900694	529.091136	2.8817599999999857	-4.343585883805147	
17A	4	a	532.549248	536.583712	534.854656	4.034463999999957	0.38546903999738813	534.278304	2.0172319999999786	1.624033957179733	
17A	2	b	537.160064	541.194528	537.160064	4.034463999999957	-0.4937773236181311	538.88912	2.0172319999999786	-1.2842272004953483	
17A	2	b	541.77088	549.839808	544.65264	8.068927999999914	-0.7194193580168902	545.805344	4.034463999999957	-5.617726852990443	
17A	2	b	552.145216	559.06144	553.874272	6.916223999999943	-0.2743933330530419	555.603328	3.4581119999999714	-2.1131712980280297	
17A	4	a	559.637792	561.366848	559.637792	1.7290560000000141	0.04638177007895461	560.214144	0.8645280000000071	0.08112264295455951	
17A	2	b	561.9432	571.741184	567.130368	9.797983999999929	-0.4035479766785901	566.554016	4.898991999999964	-2.724123374040381	
17A	2	b	573.47024	577.504704	574.622944	4.034463999999957	-0.1583457828768502	575.199296	2.0172319999999786	-0.6477977023024093	
17A	2	b	578.081056	584.99728	580.962816	6.9162240000000565	-0.3629868573474768	581.539168	3.4581120000000283	-2.673563574899896	
17A	2	b	585.573632	593.64256	588.455392	8.068928000000028	-0.4004912843068613	589.608096	4.034464000000014	-2.280323985836646	
17A	2	b	594.218912	599.982432	596.52432	5.763519999999971	-0.4632660125112409	597.100672	2.8817599999999857	-2.658423667886443	
18A	2	b	1.152704	3.458112	2.305408	2.305408	-0.06402995014424162	2.305408	1.152704	-0.1499461809468705	
18A	2	b	7.492576	17.866912	12.679744	10.374336	-0.16067243991231628	12.679744	5.187168	-1.8828449520314405	
18A	2	b	18.443264	21.325024	20.17232	2.88176	-0.037235252433308386	19.595968	1.44088	-0.1033829473682717	
18A	2	b	21.901376	23.630432	21.901376	1.729056	-0.09892037365534412	22.477728	0.864528	-0.10719994062640814	
18A	2	b	28.241248	29.970304	29.393952	1.729056	-0.03313755058151813	28.8176	0.864528	-0.03744150850705763	
18A	2	b	30.546656	32.852064	32.275712	2.305408	-0.041539253867600934	31.69936	1.152704	-0.06860268129525604	
18A	2	b	38.615584	43.2264	40.34464	4.610816	-0.09018607222864583	40.920992	2.305408	-0.43195596604126196	
18A	2	b	44.955456	52.448032	46.684512	7.492576	-0.17754807207516787	48.413568	3.746288	-1.2985677850967203	
18A	2	b	55.329792	73.196704	62.246016	17.866912	-0.1700785042987345	63.975072	8.933456	-2.7320460401131643	
18A	2	b	73.773056	76.654816	76.078464	2.88176	-0.1017856885344024	74.92576	1.44088	-0.1621218353423075	
18A	2	b	77.231168	78.960224	78.383872	1.729056	-0.04137633071203606	77.80752	0.864528	-0.06777504862151451	
18A	2	b	79.536576	81.265632	80.68928	1.729056	-0.04824042650370686	80.112928	0.864528	-0.05469296687224934	
18A	2	b	88.181856	91.639968	88.181856	3.458112	-0.03671222587330636	89.910912	1.729056	-0.1079748779587848	
18A	2	b	95.09808	99.708896	96.827136	4.610816	-0.12025475396929863	97.403488	2.305408	-0.6050629763887236	
18A	2	b	100.285248	109.50688	105.472416	9.221632	-0.14404706968153969	104.896064	4.610816	-0.9011025771960894	
18A	2	b	110.083232	115.2704	112.38864	5.187168	-0.09211723378900283	112.38864	2.593584	-0.4740634452372785	
18A	2	b	118.728512	120.457568	119.304864	1.729056	-0.032908176744859574	119.304864	0.864528	-0.04514314087399862	
18A	2	b	121.03392	123.339328	122.762976	2.305408	-0.0688572500179192	122.186624	1.152704	-0.15555572260749995	
18A	2	b	125.644736	127.950144	127.373792	2.305408	-0.06019973522079125	126.79744	1.152704	-0.07105492663929591	
18A	2	b	128.526496	130.255552	129.102848	1.7290559999999857	-0.0577828698896683	129.102848	0.8645279999999929	-0.0762264204282379	
18A	2	b	130.831904	134.290016	130.831904	3.458112	-0.07263525924775793	132.56096	1.729056	-0.25280947321294756	
18A	2	b	137.171776	148.122464	142.935296	10.950688000000014	-0.2297027770841411	142.358944	5.475344000000007	-2.418730949353627	
18A	2	b	151.004224	156.191392	153.885984	5.187168000000014	-0.12821201930300852	153.309632	2.593584000000007	-0.6523197985887221	
18A	2	b	156.767744	158.4968	157.344096	1.7290560000000141	-0.035743694651128255	157.344096	0.8645280000000071	-0.05088542576993982	
18A	2	b	160.225856	164.26032	161.954912	4.034464000000014	-0.10886699723761284	161.954912	2.017232000000007	-0.4203380848309397	
18A	2	b	166.565728	172.329248	167.718432	5.76352	-0.0747482795710459	169.447488	2.88176	-0.41585765286625875	
18A	2	b	172.9056	174.634656	173.481952	1.7290560000000141	-0.024711802436911512	173.481952	0.8645280000000071	-0.04052052988605492	
18A	2	b	175.211008	180.398176	178.092768	5.187168000000014	-0.06739691353901556	177.516416	2.593584000000007	-0.27276734075451503	
18A	2	b	182.127232	183.856288	182.127232	1.7290560000000141	-0.04495696482646894	182.703584	0.8645280000000071	-0.07903603224146316	
18A	2	b	185.585344	187.890752	186.161696	2.305408	-0.03911750282595561	186.738048	1.152704	-0.08880643126323218	
18A	2	b	188.467104	191.348864	189.619808	2.8817599999999857	-0.0629013463299799	189.619808	1.4408799999999928	-0.1368570119477559	
18A	2	b	193.07792	198.84144	197.688736	5.76352	-0.059488683235374484	195.95968	2.88176	-0.34603639363879757	
18A	2	b	199.417792	201.7232	200.570496	2.305408	-0.03788632566525907	200.570496	1.152704	-0.08635802983832952	
18A	2	b	202.299552	216.708352	208.063072	14.408799999999985	-0.10915670837637093	209.215776	7.204399999999993	-1.5241721354530815	
18A	2	b	217.284704	223.048224	220.166464	5.76352	-0.1284426293886045	220.166464	2.88176	-0.814656329061713	
18A	2	b	225.929984	229.388096	226.506336	3.458112	-0.09290282577228393	227.65904	1.729056	-0.26512891446705633	
18A	2	b	234.575264	241.491488	238.033376	6.916224	-0.07675010973003049	238.033376	3.458112	-0.492586269906365	
18A	2	b	242.06784	244.373248	242.644192	2.305408	-0.048986170290422404	243.220544	1.152704	-0.10978790689792128	
18A	2	b	244.9496	246.678656	245.525952	1.7290559999999857	-0.05081589767190842	245.525952	0.8645279999999929	-0.06915019346598128	
18A	2	b	247.255008	254.747584	247.255008	7.4925759999999855	-0.07526212697974266	250.71312	3.7462879999999927	-0.5771830138375234	
18A	2	b	257.052992	263.392864	259.3584	6.339871999999957	-0.12054229577367703	259.934752	3.1699359999999785	-0.8327770739842517	
18A	2	b	263.969216	266.850976	266.274624	2.8817599999999857	-0.10688282565581453	265.12192	1.4408799999999928	-0.364092434011682	
18A	2	b	267.427328	274.919904	272.038144	7.4925759999999855	-0.4641486015728131	270.88544	3.7462879999999927	-4.011865979440886	
18A	2	b	275.496256	284.717888	280.107072	9.221632	-0.5874103267849695	280.107072	4.610816	-6.560708868418535	
18A	2	b	287.023296	295.668576	293.363168	8.645279999999957	-0.857788412425851	291.05776	4.3226399999999785	-9.875570187158448	
18A	4	a	296.244928	298.550336	297.397632	2.305408	0.09669166102877114	297.397632	1.152704	0.15159475834664748	
18A	2	b	299.126688	306.042912	302.5848	6.916224	-1.1881381209458262	302.5848	3.458112	-11.188236118983777	
18A	2	b	306.619264	315.840896	308.34832	9.221632	-1.3050123909120415	311.23008	4.610816	-15.947470286685885	
18A	4	a	318.722656	320.451712	319.87536	1.7290560000000141	0.5834482881709162	319.299008	0.8645280000000071	1.0415023217174073	
18A	2	b	321.028064	328.52064	321.604416	7.492576000000042	-0.6996622105263821	324.486176	3.746288000000021	-5.271708763622604	
18A	2	b	329.096992	333.131456	330.826048	4.034464000000014	-0.10389506988309405	330.826048	2.017232000000007	-0.49613302915415436	
18A	2	b	334.860512	340.04768	336.589568	5.187167999999986	-0.15423552305276989	337.16592	2.593583999999993	-0.7060753596276865	
18A	2	b	341.776736	345.8112	342.92944	4.034463999999957	-0.09245896950341237	343.505792	2.0172319999999786	-0.33546125379434	
18A	2	b	347.540256	351.57472	348.69296	4.034464000000014	-0.08033203877722439	349.269312	2.017232000000007	-0.2847712474972446	
18A	2	b	353.303776	362.525408	356.761888	9.221632	-0.1302737148054698	357.914592	4.610816	-1.102487070332079	
18A	2	b	363.10176	367.712576	365.98352	4.610816	-0.08151712247834642	365.407168	2.305408	-0.38807734017116813	
18A	2	b	368.288928	374.052448	371.170688	5.763520000000028	-0.12835618652198377	371.170688	2.881760000000014	-0.842143217435354	
18A	2	b	374.6288	382.697728	380.968672	8.068927999999971	-1.154102920655916	378.663264	4.034463999999986	-9.03740243647083	
18A	2	b	383.27408	389.613952	385.579488	6.339871999999957	-1.0615018390718727	386.15584	3.1699359999999785	-7.155252181004992	
18A	2	b	390.190304	395.953824	393.072064	5.763519999999971	-0.30101549430689145	393.072064	2.8817599999999857	-1.6820242898971074	
18A	2	b	398.259232	401.717344	398.835584	3.4581120000000283	-0.5755025700929415	399.988288	1.7290560000000141	-1.9551089507998152	
18A	2	b	402.293696	410.938976	405.175456	8.645280000000014	-0.3299705350009652	406.32816	4.322640000000007	-2.8467465620861394	
18A	2	b	411.515328	420.160608	418.431552	8.645280000000014	-0.4095726588255779	415.549792	4.322640000000007	-4.603494451219592	
18A	2	b	420.73696	426.50048	424.195072	5.763519999999971	-1.7801082852519836	423.61872	2.8817599999999857	-11.37747917226287	
18A	4	a	427.076832	428.805888	427.653184	1.7290559999999573	0.262426951950979	427.653184	0.8645279999999786	0.4053524088096516	
18A	2	b	429.38224	436.874816	432.264	7.4925759999999855	-2.3414686766912403	432.840352	3.7462879999999927	-21.29892821900676	
18A	2	b	437.451168	444.367392	441.485632	6.916224	-1.6678164314375614	440.90928	3.458112	-12.405403452700222	
18A	2	b	444.943744	451.859968	448.978208	6.916224	-1.6141768170169866	448.401856	3.458112	-9.888029426181197	
18A	2	b	452.43632	459.352544	456.470784	6.916224	-2.6136852548772214	455.894432	3.458112	-17.446143222474788	
18A	2	b	459.928896	466.84512	463.387008	6.916224	-2.6716365238117	463.387008	3.458112	-16.003064169532166	
18A	2	b	469.150528	474.914048	471.455936	5.763519999999971	-1.7828965499614133	472.032288	2.8817599999999857	-9.811127642207953	
18A	2	b	476.643104	480.101216	477.795808	3.4581120000000283	-0.9206365449442888	478.37216	1.7290560000000141	-3.225514158768013	
18A	2	b	480.677568	487.593792	484.13568	6.916224	-2.443934621370027	484.13568	3.458112	-15.828459633804489	
18A	4	a	488.170144	490.475552	488.746496	2.305408	0.21215396963219657	489.322848	1.152704	0.4485582449740346	
18A	2	b	491.051904	496.815424	492.78096	5.763520000000028	-2.064807121085905	493.933664	2.881760000000014	-11.960880852046285	
18A	4	a	497.391776	500.273536	499.120832	2.8817599999999857	0.3737647097392678	498.54448	1.4408799999999928	0.9075377989470352	
18A	2	b	500.849888	504.308	502.578944	3.4581119999999714	-0.4736748175706502	502.578944	1.7290559999999857	-1.720669585183661	
18A	2	b	504.884352	511.800576	507.766112	6.916224	-1.83124420203505	508.342464	3.458112	-11.40413359425835	
18A	4	a	512.376928	514.105984	513.529632	1.7290560000000141	0.0705386653234985	512.95328	0.8645280000000071	0.05899940237067103	
18A	2	b	514.682336	523.327616	519.293152	8.64528000000007	-1.9762289490220812	518.7168	4.322640000000035	-13.745639460849182	
18A	4	a	525.056672	527.938432	525.633024	2.8817599999999857	0.4044127068593708	526.209376	1.4408799999999928	0.9419238155905321	
18A	4	a	528.514784	533.1256	530.820192	4.610816	1.0098594822597136	530.820192	2.305408	5.054027747219836	
18A	2	b	533.701952	538.312768	534.854656	4.610816	-1.5266199016426887	536.00736	2.305408	-8.091930613255558	
18A	2	b	540.041824	546.381696	541.194528	6.339872000000014	-1.1832404707472293	542.923584	3.169936000000007	-6.852255991185056	
18A	2	b	548.687104	554.450624	550.41616	5.763519999999971	-1.4278739584791271	551.568864	2.8817599999999857	-8.586339573880974	
18A	2	b	556.17968	563.095904	559.06144	6.9162240000000565	-1.4805914926709889	559.637792	3.4581120000000283	-10.009805880078066	
18A	2	b	565.977664	568.859424	566.554016	2.8817599999999857	-0.27026606648436324	567.130368	1.4408799999999928	-0.7221801009459061	
18A	2	b	570.58848	575.199296	571.164832	4.610816	-0.4455088894851418	572.893888	2.305408	-2.427246678238133	
18A	2	b	575.775648	577.504704	576.928352	1.7290559999999005	-0.094863838166094	576.352	0.8645279999999502	-0.1497810299467277	
18A	2	b	578.081056	584.99728	580.962816	6.9162240000000565	-0.37247556036435814	581.539168	3.4581120000000283	-1.99005858994318	
18A	2	b	585.573632	587.302688	586.149984	1.7290560000000141	-0.13691846601612756	586.149984	0.8645280000000071	-0.18875984624798825	
18A	2	b	587.87904	590.7608	588.455392	2.8817599999999857	-0.3883790848625024	589.031744	1.4408799999999928	-1.1155109398258487	
18A	2	b	592.489856	598.253376	596.52432	5.763519999999971	-0.5247995424181866	595.371616	2.8817599999999857	-2.417055819370823	
18A	2	b	598.829728	599.982432	599.982432	1.1527039999999715	-0.17761362463993446	599.40608	0.5763519999999858	-0.08159394212716187	
19A	2	b	2.88176	10.374336	8.068928	7.492576	-0.1258973335767033	6.339872	3.746288	-0.7807113351731965	
19A	2	b	10.950688	17.866912	13.832448	6.916224	-0.14036118178417123	14.4088	3.458112	-1.1148388406773653	
19A	2	b	18.443264	20.748672	20.17232	2.305408	-0.07355191918399573	19.595968	1.152704	-0.0909767697478363	
19A	2	b	25.359488	27.664896	27.088544	2.305408	-0.06410208949136953	26.512192	1.152704	-0.1360433514539563	
19A	2	b	33.428416	35.157472	34.004768	1.729056	-0.06335962877281665	34.004768	0.864528	-0.08355975939115301	
19A	2	b	37.46288	39.768288	38.039232	2.305408	-0.039507445994892976	38.615584	1.152704	-0.088027255715738	
19A	2	b	42.650048	46.10816	43.802752	3.458112	-0.08429390765791567	44.379104	1.729056	-0.258154317424383	
19A	2	b	46.684512	52.448032	48.413568	5.76352	-0.16214294023876796	49.566272	2.88176	-0.9788432848025248	
19A	2	b	53.024384	56.482496	53.600736	3.458112	-0.08328393499935416	54.75344	1.729056	-0.28721357663152247	
19A	2	b	57.058848	59.940608	58.211552	2.88176	-0.059437116966389425	58.211552	1.44088	-0.12646158202877755	
19A	2	b	60.51696	74.349408	72.044	13.832448	-0.17154878395491702	67.433184	6.916224	-2.6521680391634597	
19A	2	b	76.654816	78.960224	78.383872	2.305408	-0.02597883492866826	77.80752	1.152704	-0.048726958846033064	
19A	2	b	79.536576	81.265632	79.536576	1.729056	-0.03371513559993211	80.112928	0.864528	-0.050989725875830505	
19A	2	b	88.181856	90.487264	89.910912	2.305408	-0.06582248613605346	89.33456	1.152704	-0.13105177093305342	
19A	2	b	92.21632	96.250784	95.09808	4.034464	-0.06865942951906989	93.945376	2.017232	-0.29063351860246867	
19A	2	b	102.014304	106.048768	102.590656	4.034464	-0.11815615330153983	103.74336	2.017232	-0.490193540641102	
19A	2	b	107.777824	109.50688	108.930528	1.729056	-0.06471906165352337	108.354176	0.864528	-0.0625300459554361	
19A	2	b	110.083232	114.694048	110.083232	4.610816	-0.04736656302990472	112.38864	2.305408	-0.1735651455345777	
19A	2	b	115.2704	123.339328	117.575808	8.068928	-0.12266144146560531	119.304864	4.034464	-0.7996794807254366	
19A	2	b	127.950144	131.984608	129.102848	4.034464000000014	-0.11536218247660734	129.6792	2.017232000000007	-0.3495322864880199	
19A	2	b	132.56096	147.546112	141.20624	14.985152	-0.22334186622937047	140.053536	7.492576	-2.48994846501349	
19A	2	b	148.122464	155.038688	151.580576	6.916224	-0.08472943498724872	151.580576	3.458112	-0.5384977526322134	
19A	2	b	155.61504	162.531264	159.073152	6.916224	-0.148863848322482	159.073152	3.458112	-0.7397455349632873	
19A	2	b	164.836672	166.565728	165.413024	1.7290560000000141	-0.052897669234417855	165.413024	0.8645280000000071	-0.09596234409210691	
19A	2	b	167.14208	170.02384	168.294784	2.881760000000014	-0.16073302291941438	168.294784	1.440880000000007	-0.5074840368692937	
19A	2	b	170.600192	172.329248	171.752896	1.7290560000000141	-0.050240425175473113	171.176544	0.8645280000000071	-0.0373344050669604	
19A	2	b	174.634656	180.398176	177.516416	5.76352	-0.1153082549358535	177.516416	2.88176	-0.6866541700232784	
19A	2	b	189.043456	205.757664	202.299552	16.714208000000013	-0.13290554220981	197.112384	8.357104000000007	-1.9867341415970805	
19A	2	b	208.639424	215.555648	210.944832	6.916224	-0.0718816826851505	212.097536	3.458112	-0.46345730427424314	
19A	2	b	216.132	221.89552	220.166464	5.76352	-0.059572214330071205	219.01376	2.88176	-0.3648268868819109	
19A	2	b	223.624576	228.235392	225.929984	4.610816	-0.12442362894424042	225.929984	2.305408	-0.4388565297534388	
19A	2	b	230.5408	238.609728	232.846208	8.068928	-0.11544013225831007	234.575264	4.034464	-0.8722815464131259	
19A	2	b	240.338784	246.678656	243.796896	6.3398719999999855	-0.1092510525826742	243.220544	3.1699359999999928	-0.7931104453299969	
19A	2	b	247.255008	252.442176	251.289472	5.187167999999986	-0.08373006391001425	249.560416	2.593583999999993	-0.381466876999387	
19A	2	b	253.018528	254.747584	253.018528	1.7290559999999857	-0.06389412739264078	253.59488	0.8645279999999929	-0.0649882866818916	
19A	2	b	256.47664	263.392864	257.052992	6.916224	-0.1007314937157231	259.934752	3.458112	-0.5799208081258416	
19A	2	b	265.12192	274.919904	272.038144	9.797983999999985	-0.17915794436444132	269.732736	4.898991999999993	-1.7731131453317317	
19A	2	b	275.496256	282.41248	276.072608	6.916224	-0.07920142596754687	278.954368	3.458112	-0.524267291083603	
19A	2	b	282.988832	285.29424	283.565184	2.305408	-0.05281163048409976	284.141536	1.152704	-0.11687830537592125	
19A	2	b	290.481408	292.786816	291.634112	2.305408	-0.06742451200132393	291.634112	1.152704	-0.1360622623442076	
19A	2	b	293.363168	296.82128	294.515872	3.4581120000000283	-0.2871056693402734	295.092224	1.7290560000000141	-1.0349590294392867	
19A	2	b	297.397632	305.46656	304.313856	8.068928000000028	-0.49110919309036216	301.432096	4.034464000000014	-3.8209052385806634	
19A	2	b	307.195616	309.501024	307.195616	2.305408	-0.33424497157185407	308.34832	1.152704	-0.5461483785759866	
19A	2	b	310.077376	316.9936	314.688192	6.916224	-1.3440007962964753	313.535488	3.458112	-9.391015172786249	
19A	2	b	318.722656	330.826048	320.451712	12.103392000000042	-0.9479542848237239	324.486176	6.051696000000021	-11.0618298748823	
19A	2	b	331.4024	337.16592	333.707808	5.763520000000028	-0.1979893736509748	334.28416	2.881760000000014	-0.9099331102851846	
19A	2	b	338.894976	346.963904	341.200384	8.068928000000028	-0.16625575892294053	342.92944	4.034464000000014	-1.2517666555362443	
19A	2	b	348.69296	357.33824	352.151072	8.645279999999957	-0.17001646294156325	352.727424	4.3226399999999785	-0.879033756851306	
19A	2	b	359.067296	360.796352	360.22	1.7290560000000141	-0.034204089604809695	359.643648	0.8645280000000071	-0.04891139318182125	
19A	2	b	361.372704	365.407168	363.10176	4.034464000000014	-0.051409533675768504	363.10176	2.017232000000007	-0.20690698392246176	
19A	2	b	365.98352	367.712576	366.559872	1.7290560000000141	-0.05995128945135786	366.559872	0.8645280000000071	-0.09908300760465583	
19A	2	b	368.288928	370.017984	369.441632	1.7290560000000141	-0.06864019645356834	368.86528	0.8645280000000071	-0.06754022001768623	
19A	2	b	370.594336	374.6288	373.476096	4.034464000000014	-0.0799545251884366	372.323392	2.017232000000007	-0.23950427776619376	
19A	2	b	376.934208	382.121376	380.968672	5.187167999999986	-1.1886091186683863	379.239616	2.593583999999993	-5.991131197604951	
19A	2	b	382.697728	390.190304	387.884896	7.492576000000042	-1.2273149174790188	386.15584	3.746288000000021	-9.44568513600381	
19A	2	b	390.766656	399.411936	396.530176	8.645280000000014	-0.7491407354641169	394.80112	4.322640000000007	-3.771694722527009	
19A	2	b	399.988288	425.924128	423.61872	25.935839999999985	-2.3431912069419143	412.668032	12.967919999999992	-71.12374496974898	
