										Kaede_Unfed#15_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
1A	2	b	269.054784	271.692576	269.054784	2.6377919999999904	-0.13954429970230997	270.37368	1.3188959999999952	-0.18887695425453543	
1A	2	b	272.352024	278.946504	276.308712	6.594480000000033	-0.09503633457723026	275.649264	3.2972400000000164	-0.4290749200268502	
1A	2	b	279.605952	288.838224	282.903192	9.232272000000023	-0.9422705780736891	284.222088	4.616136000000012	-5.798171718084632	
1A	4	a	291.476016	296.7516	292.135464	5.275583999999981	0.07313612575704198	294.113808	2.6377919999999904	0.26792589551646184	
1A	2	b	297.411048	300.04884	298.070496	2.6377919999999904	-0.05039463044571235	298.729944	1.3188959999999952	-0.09383103769657808	
1A	4	a	302.027184	305.324424	304.005528	3.297240000000045	0.1973589306807355	303.34608	1.6486200000000224	0.4600323992327242	
1A	2	b	305.983872	321.810624	308.621664	15.826751999999999	-1.693682980406523	313.897248	7.9133759999999995	-15.117698313915028	
1A	2	b	322.470072	325.107864	323.12952	2.6377919999999904	-0.08134046488356184	323.788968	1.3188959999999952	-0.17424861058038754	
1A	2	b	329.064552	331.042896	329.064552	1.9783439999999928	-0.10182751276336077	329.724	0.9891719999999964	-0.1049235194107645	
1A	2	b	331.702344	343.572408	333.680688	11.870064000000013	-0.8909415729544552	337.637376	5.935032000000007	-5.3113758205692765	
1A	2	b	344.231856	350.826336	348.847992	6.594480000000033	-0.15827203327439676	347.529096	3.2972400000000164	-0.7622340689414324	
1A	2	b	351.485784	365.334192	359.39916	13.84840799999995	-1.2089977167317656	358.080264	6.924203999999975	-12.811405912887732	
1A	2	b	365.99364	396.328248	380.501496	30.334607999999946	-2.0875979480341567	381.160944	15.167303999999973	-22.290962603747502	
1A	4	a	396.987696	400.284936	399.625488	3.297239999999988	0.05057001735409017	398.306592	1.648619999999994	0.09980753714835178	
1A	2	b	400.944384	414.133344	406.879416	13.188960000000009	-0.6114974653278313	407.538864	6.594480000000004	-3.819358770319049	
1A	2	b	416.111688	420.068376	416.771136	3.9566879999999855	-0.13543672419783093	418.090032	1.9783439999999928	-0.45514235862698005	
1A	2	b	422.04672	439.851816	426.662856	17.805095999999992	-1.6219251701897228	430.619544	8.902547999999996	-20.194679244665444	
1A	4	a	440.511264	443.149056	441.170712	2.6377919999999904	0.16586357901826254	441.83016	1.3188959999999952	0.4382471237783374	
1A	2	b	443.808504	460.954152	444.467952	17.145647999999994	-0.5743333737937402	452.381328	8.572823999999997	-8.4526209606488	
1A	2	b	461.6136	480.737592	470.186424	19.123991999999987	-0.9229213594572521	470.845872	9.561995999999994	-10.847502402917327	
1A	2	b	481.39704	500.521032	488.650968	19.123991999999987	-1.86770437522007	490.629312	9.561995999999994	-22.41253439637477	
1A	2	b	501.18048	521.623368	511.0722	20.44288800000004	-0.8534399129733234	511.0722	10.22144400000002	-10.804704452368739	
1A	2	b	523.601712	567.784728	559.871352	44.18301599999995	-3.9648602393927996	545.363496	22.091507999999976	-60.71070256644999	
1A	2	b	568.444176	582.952032	572.400864	14.50785600000006	-2.771053820798894	575.698104	7.25392800000003	-23.40117792881918	
1A	2	b	583.61148	597.459888	587.568168	13.84840799999995	-1.498348233625416	590.20596	6.924203999999975	-10.274071172044795	
1A	2	b	598.119336	600.09768	599.438232	1.9783439999999928	-0.1784856830131698	598.778784	0.9891719999999964	-0.2608236393806447	
2A	2	b	0.0	9.232272	2.637792	9.232272	-1.9113618838838455	4.616136	4.616136	-15.54095083312236	
2A	2	b	11.210616	29.015712	15.826752	17.805096	-9.688062178231501	19.78344	8.902548	-99.46794671906908	
2A	2	b	30.994056	45.501912	34.291296	14.507855999999997	-9.713228750875405	38.247984	7.253927999999998	-84.63708377296538	
2A	4	a	46.16136	50.118048	48.799152	3.9566879999999998	0.5486143099097145	48.139704	1.9783439999999999	1.6922116905305433	
2A	2	b	50.777496	63.966456	54.074736	13.188960000000002	-6.6963902833876325	57.371976	6.594480000000001	-49.4966393420992	
2A	4	a	65.9448	67.923144	65.9448	1.9783439999999928	0.039452818528015854	66.604248	0.9891719999999964	0.06187690570821491	
2A	2	b	68.582592	83.090448	71.220384	14.50785599999999	-7.349779844636915	75.83652	7.253927999999995	-60.335141116321154	
2A	2	b	83.749896	100.895544	90.344376	17.145647999999994	-4.016270535438949	92.32272	8.572823999999997	-35.29830743652821	
2A	4	a	101.554992	105.51168	102.873888	3.9566879999999998	0.07395530153561047	103.533336	1.9783439999999999	0.22559477574638187	
2A	2	b	106.171128	118.70064	109.468368	12.529512000000011	-0.5887529099339872	112.10616	6.2647560000000055	-4.217249449630239	
2A	2	b	123.976224	135.18684	128.59236	11.210615999999987	-0.47517901400619955	129.251808	5.605307999999994	-4.027646541013417	
2A	4	a	139.143528	142.440768	140.462424	3.297239999999988	0.060145153218169156	140.462424	1.648619999999994	0.13615497131291665	
2A	2	b	143.100216	148.3758	144.419112	5.275584000000009	-0.1542572976244383	145.738008	2.6377920000000046	-0.6533141046002813	
2A	2	b	149.035248	173.434824	166.180896	24.399575999999996	-0.2780773113315149	160.905312	12.199787999999998	-4.425655200990377	
2A	2	b	174.094272	177.391512	174.75372	3.2972400000000164	-0.09626559659927025	175.413168	1.6486200000000082	-0.3053408422965367	
2A	2	b	180.688752	195.856056	184.64544	15.167304000000001	-0.30602192868574285	187.94268	7.583652000000001	-3.097889259502862	
2A	2	b	196.515504	202.450536	197.8344	5.935032000000007	-0.10639488140508213	199.153296	2.9675160000000034	-0.5551381640691995	
2A	2	b	203.109984	230.147352	209.045016	27.037368000000015	-0.98340996425223	216.298944	13.518684000000007	-12.827359908951955	
2A	2	b	230.8068	238.720176	234.10404	7.9133759999999995	-0.27167706679393966	234.763488	3.9566879999999998	-1.6694966572993337	
2A	2	b	239.379624	243.336312	242.676864	3.9566879999999855	-0.07188992644010739	241.357968	1.9783439999999928	-0.1927594194042035	
2A	2	b	243.99576	267.07644	255.206376	23.08068	-0.5715839585029414	255.206376	11.54034	-6.4065746818521	
2A	2	b	269.054784	323.788968	305.983872	54.73418400000003	-3.330897893789576	296.092152	27.367092000000014	-37.50789824127384	
2A	2	b	324.448416	335.659032	329.064552	11.210616000000016	-1.653429765527239	329.724	5.605308000000008	-9.977883400177417	
2A	2	b	336.31848	344.231856	342.253512	7.913375999999971	-0.10990242940916417	340.275168	3.9566879999999855	-0.6253319030528521	
2A	2	b	344.891304	350.166888	346.2102	5.275583999999981	-0.07337167169520242	347.529096	2.6377919999999904	-0.28364526181001537	
2A	2	b	350.826336	365.334192	353.464128	14.507855999999947	-1.837099162214999	358.080264	7.2539279999999735	-13.634692085351102	
2A	2	b	367.312536	395.009352	377.863704	27.696815999999956	-2.1601193739817752	381.160944	13.848407999999978	-20.74388646049089	
2A	2	b	395.6688	407.538864	398.96604	11.870064000000013	-1.307835792790847	401.603832	5.935032000000007	-10.530292000457171	
2A	2	b	408.198312	429.300648	420.727824	21.102336000000037	-1.5435443541579428	418.74948	10.551168000000018	-14.5631208324528	
2A	2	b	431.278992	437.873472	431.278992	6.594479999999976	-0.16650052809064597	434.576232	3.297239999999988	-0.8653535157236538	
2A	2	b	438.53292	451.062432	440.511264	12.529512000000011	-1.3963356749131641	444.467952	6.2647560000000055	-10.734625664055635	
2A	2	b	455.01912	458.31636	455.678568	3.297239999999988	-0.1311943054506468	456.338016	1.648619999999994	-0.32776387526170314	
2A	2	b	458.975808	477.440352	463.591944	18.464544000000046	-4.444751213032649	468.20808	9.232272000000023	-49.663435138968914	
2A	2	b	480.737592	491.948208	484.69428	11.210616000000016	-2.019643690442992	486.013176	5.605308000000008	-16.087466744776293	
2A	2	b	493.926552	495.904896	493.926552	1.9783439999999928	-0.09022847296204972	494.586	0.9891719999999964	-0.11064578474758857	
2A	2	b	496.564344	515.028888	501.839928	18.464544000000046	-3.735297530900091	505.796616	9.232272000000023	-37.221896116944684	
2A	2	b	517.66668	539.428464	521.623368	21.76178399999992	-5.931170469742053	528.217848	10.88089199999996	-57.01156954942533	
2A	2	b	540.087912	564.487488	548.001288	24.399576000000025	-8.534109839336068	551.957976	12.199788000000012	-83.43727042060785	
2A	2	b	565.146936	586.249272	569.103624	21.102336000000037	-7.866722836494498	575.698104	10.551168000000018	-105.38363768700573	
2A	2	b	586.90872	600.09768	589.546512	13.188959999999952	-2.1857352052401176	593.5032	6.594479999999976	-14.310300230847487	
3A	4	a	0.0	8.572824	0.0	8.572824	0.5857830279735659	3.956688	4.286412	3.5103136301144495	
3A	2	b	9.232272	25.059024	13.848408	15.826752	-8.495800002006405	17.145648	7.913376	-106.07827192923266	
3A	4	a	25.718472	27.696816	26.37792	1.9783439999999999	0.2858322457332996	26.37792	0.9891719999999999	0.5163857767763442	
3A	2	b	28.356264	41.545224	30.994056	13.188959999999998	-3.5439529049210083	34.950744	6.594479999999999	-24.32207317780332	
3A	2	b	42.204672	55.393632	47.480256	13.188959999999994	-3.176128826694937	48.799152	6.594479999999997	-17.803292539194665	
3A	4	a	56.05308	60.669216	59.35032	4.616135999999997	0.06111352557226013	58.031424	2.3080679999999987	0.18568065275757029	
3A	2	b	61.328664	77.814864	66.604248	16.486199999999997	-3.804970594054444	69.24204	8.243099999999998	-30.834035294656175	
3A	2	b	81.771552	96.279408	84.409344	14.507856000000004	-4.493168189807221	89.02548	7.253928000000002	-31.533284388889147	
3A	2	b	99.576648	114.084504	102.21444	14.50785599999999	-1.2236687086082014	106.830576	7.253927999999995	-7.737774912549767	
3A	2	b	114.743952	152.991936	127.273464	38.24798400000002	-2.5619739306645357	133.867944	19.12399200000001	-58.67255690345889	
3A	2	b	154.97028	164.202552	160.905312	9.232271999999995	-0.3429793937126462	159.586416	4.616135999999997	-1.6295142102332338	
3A	4	a	171.45648	176.732064	173.434824	5.275584000000009	0.08196774887923652	174.094272	2.6377920000000046	0.19587630709887982	
3A	2	b	177.391512	209.704464	180.029304	32.312951999999996	-0.5481644596314652	193.218264	16.156475999999998	-10.04245290619761	
3A	2	b	210.363912	218.936736	213.001704	8.572823999999997	-0.24947628357431384	214.3206	4.286411999999999	-1.388611988434418	
3A	2	b	219.596184	226.850112	222.233976	7.253928000000002	-0.08053291278965702	222.893424	3.626964000000001	-0.4385239542867705	
3A	2	b	227.50956	229.487904	228.169008	1.9783439999999928	-0.055962788298064226	228.169008	0.9891719999999964	-0.09142315746078111	
3A	2	b	230.147352	241.357968	230.8068	11.210615999999987	-0.07145798644652501	235.422936	5.605307999999994	-0.6363180003043905	
3A	2	b	242.017416	244.655208	242.017416	2.6377919999999904	-0.05305955831121878	243.336312	1.3188959999999952	-0.10498615622901042	
3A	2	b	246.633552	282.243744	267.735888	35.610191999999984	-0.8155277125562854	264.438648	17.805095999999992	-15.800387978587718	
3A	2	b	282.903192	286.85988	285.540984	3.9566879999999855	-0.1236776846638108	284.881536	1.9783439999999928	-0.3522036450835486	
3A	2	b	287.519328	294.773256	288.178776	7.25392800000003	-0.15190135507970481	290.816568	3.626964000000015	-0.8607909604713448	
3A	2	b	295.432704	302.686632	296.7516	7.2539279999999735	-0.11186256955828	298.729944	3.6269639999999868	-0.8490637236857648	
3A	2	b	303.34608	312.578352	305.324424	9.232272000000023	-0.6670503530779222	307.962216	4.616136000000012	-3.6719930184779397	
3A	2	b	313.2378	334.999584	319.172832	21.761784000000034	-0.30104212751370696	323.788968	10.880892000000017	-5.655350358940545	
3A	2	b	335.659032	353.464128	340.934616	17.805095999999992	-0.35317165662709016	344.231856	8.902547999999996	-4.764178005575072	
