										Kaede_Unfed#14_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
9A	2	b	300.708288	303.34608	302.686632	2.6377919999999904	-0.03356013961915583	302.027184	1.3188959999999952	-0.044008452531018705	
9A	4	a	304.005528	327.745656	311.259456	23.74012799999997	0.34721305564899163	315.875592	11.870063999999985	7.24915414162839	
9A	4	a	328.405104	352.80468	342.253512	24.399576000000025	1.4023878911221725	340.275168	12.199788000000012	21.953514644297783	
9A	4	a	356.10192	374.566464	359.39916	18.46454399999999	0.41536905468929763	365.334192	9.232271999999995	5.808788466632177	
9A	4	a	375.225912	402.922728	392.37156	27.696816000000013	0.9757452547906209	389.07432	13.848408000000006	17.690802292845632	
9A	4	a	403.582176	464.251392	452.381328	60.669216000000006	1.461530910546288	433.916784	30.334608000000003	49.65237042424689	
9A	4	a	464.91084	519.645024	507.115512	54.73418400000003	1.056283004759912	491.948208	27.367092000000014	34.19550338092473	
9A	2	b	520.304472	529.536744	526.898952	9.232271999999966	-0.1471407812535901	524.920608	4.616135999999983	-0.9466649333781287	
9A	4	a	530.196192	543.385152	534.15288	13.188959999999952	0.18739075832280339	536.790672	6.594479999999976	1.8575598012920875	
9A	4	a	544.0446	570.42252	563.82804	26.377920000000017	0.7311640928781507	557.23356	13.188960000000009	13.022385971314431	
9A	4	a	573.71976	600.09768	600.09768	26.377920000000017	1.3321669971662708	586.90872	13.188960000000009	29.613392462828262	
10A	4	a	0.0	5.935032	0.659448	5.935032	0.16890265828771645	2.637792	2.967516	0.7224631737037821	
10A	4	a	6.59448	33.631848	21.761784	27.037367999999997	1.8116508191532028	19.78344	13.518683999999999	31.31823226984124	
10A	2	b	34.291296	44.183016	38.247984	9.89172	-0.4810720645522557	38.907432	4.94586	-3.889520665811161	
10A	4	a	44.842464	73.858176	46.820808	29.015712	0.3313669228816396	59.35032	14.507856	6.414016655912341	
10A	2	b	75.83652	78.474312	75.83652	2.6377920000000046	-0.015010042127491463	77.155416	1.3188960000000023	-0.029247794121979753	
10A	4	a	79.13376	82.431	79.793208	3.297240000000002	0.07644266355970686	80.452656	1.648620000000001	0.20294821252852246	
10A	4	a	83.090448	86.387688	84.409344	3.297240000000002	0.07215955907903293	84.409344	1.648620000000001	0.21032945511510737	
10A	2	b	87.047136	90.344376	87.047136	3.297240000000002	-0.05208270037720952	88.366032	1.648620000000001	-0.1394533645175262	
10A	2	b	93.641616	104.192784	98.257752	10.551168000000004	-0.17975400922470564	98.9172	5.275584000000002	-1.406143257433279	
10A	4	a	104.852232	120.678984	116.062848	15.826751999999999	0.12190566829926697	112.765608	7.9133759999999995	1.8757471015162879	
10A	4	a	129.251808	149.035248	135.846288	19.783439999999985	0.8653431441614816	139.143528	9.891719999999992	11.54778251786718	
10A	4	a	151.013592	174.094272	160.245864	23.08068	0.18609279111356036	162.224208	11.54034	4.216405044987352	
10A	4	a	174.75372	201.791088	191.23992	27.037368000000015	0.552842559127805	187.94268	13.518684000000007	10.463568104262134	
10A	4	a	205.747776	213.661152	207.72612	7.9133759999999995	0.14341512224086284	209.704464	3.9566879999999998	0.9900074135479249	
10A	4	a	215.639496	221.574528	215.639496	5.935031999999978	0.05241377118606305	218.277288	2.967515999999989	0.225318570136954	
10A	4	a	225.531216	237.40128	235.422936	11.870064000000013	0.08118599559656126	231.466248	5.935032000000007	0.7627222759535752	
10A	4	a	238.060728	257.844168	245.314656	19.783440000000013	1.2602069959938547	247.952448	9.891720000000007	14.495352593497692	
10A	2	b	258.503616	267.735888	261.800856	9.232271999999966	-0.16519627292763772	263.119752	4.616135999999983	-1.4346201948298518	
10A	4	a	268.395336	270.37368	269.054784	1.9783439999999928	0.030474420141929137	269.054784	0.9891719999999964	0.04198031150956538	
10A	4	a	272.352024	292.794912	283.56264	20.44288800000004	0.11629228517591805	282.243744	10.22144400000002	1.7656815246468271	
10A	4	a	293.45436	308.621664	298.729944	15.167304000000001	0.8953059796030072	300.708288	7.583652000000001	8.101065421918898	
10A	4	a	309.281112	328.405104	319.172832	19.123991999999987	0.1943395415532807	318.513384	9.561995999999994	2.5320424753096367	
10A	4	a	329.064552	334.999584	329.064552	5.935032000000035	0.04311709561701971	331.702344	2.9675160000000176	0.1472864065179238	
10A	4	a	337.637376	360.058608	350.166888	22.421231999999975	1.35909458881649	348.847992	11.210615999999987	18.759936447501197	
10A	4	a	360.718056	373.907016	367.971984	13.188960000000009	0.32627307071416656	367.312536	6.594480000000004	3.359495208744195	
10A	4	a	374.566464	377.204256	374.566464	2.6377919999999904	0.032443817844707734	375.88536	1.3188959999999952	0.03354863649161954	
10A	4	a	377.863704	379.842048	378.523152	1.9783439999999928	0.047493060852835	378.523152	0.9891719999999964	0.06359152852094763	
10A	4	a	380.501496	407.538864	399.625488	27.037368000000015	0.9378259918216005	393.690456	13.518684000000007	11.86384574481357	
10A	4	a	408.198312	424.025064	415.45224	15.826751999999999	0.30223975011976156	416.111688	7.9133759999999995	3.76152406617535	
10A	4	a	424.684512	450.402984	440.511264	25.71847200000002	0.19913436496939552	437.214024	12.85923600000001	4.952418628058458	
10A	4	a	451.062432	469.526976	457.656912	18.46454399999999	1.5113693682653846	460.294704	9.232271999999995	15.626646083883102	
10A	4	a	470.186424	476.780904	474.80256	6.594480000000033	0.07011307959813617	473.483664	3.2972400000000164	0.35249839050723186	
10A	4	a	477.440352	495.245448	484.034832	17.805095999999992	0.09900278317957634	486.013176	8.902547999999996	1.4560095296866113	
10A	4	a	499.861584	526.239504	517.66668	26.377920000000017	1.161449676284402	513.050544	13.188960000000009	19.49866547949928	
10A	2	b	526.898952	529.536744	527.5584	2.6377919999999904	-0.054369053199699646	528.217848	1.3188959999999952	-0.13726258398463798	
10A	4	a	530.196192	544.704048	534.15288	14.507855999999947	0.3405590841363342	537.45012	7.2539279999999735	3.743515797447636	
10A	4	a	545.363496	553.93632	549.320184	8.572823999999969	0.09193265263199324	549.320184	4.286411999999984	0.5351300370675747	
10A	4	a	554.595768	577.676448	570.42252	23.08068000000003	0.9417737249810236	565.806384	11.540340000000015	9.695267789252354	
10A	4	a	578.335896	596.80044	587.568168	18.464543999999933	0.16581452750723802	587.568168	9.232271999999966	2.618685439176808	
10A	4	a	597.459888	600.09768	597.459888	2.6377919999999904	0.06251998335322062	598.778784	1.3188959999999952	0.1607143182286257	
11A	4	a	0.0	4.616136	0.0	4.616136	0.6148615748414255	1.978344	2.308068	2.6517296597923634	
11A	4	a	6.59448	9.89172	9.232272	3.2972399999999995	0.10474102692318521	7.913376	1.6486199999999998	0.1893727553383009	
11A	4	a	11.870064	36.929088	28.356264	25.059024	1.5959560167688736	24.399576	12.529512	34.69435909813104	
11A	4	a	37.588536	50.118048	42.204672	12.529512000000004	1.6490666013980402	43.523568	6.264756000000002	19.816249841391667	
11A	4	a	50.777496	54.734184	51.436944	3.9566879999999998	0.09704905612706494	52.75584	1.9783439999999999	0.2392315705807091	
11A	4	a	55.393632	94.960512	87.706584	39.56688	1.0913250083550992	75.177072	19.78344	17.01080861065843	
11A	4	a	95.61996	113.425056	98.257752	17.805095999999992	0.8601327594896997	104.192784	8.902547999999996	12.362557906993995	
11A	4	a	115.4034	117.381744	116.062848	1.9783439999999928	0.07993546339684343	116.062848	0.9891719999999964	0.09821416613510991	
11A	4	a	118.041192	120.019536	118.041192	1.978344000000007	0.028568591938286758	118.70064	0.9891720000000035	0.031629618445760066	
11A	2	b	120.678984	125.954568	124.635672	5.275583999999995	-0.09198675751732432	123.316776	2.6377919999999975	-0.3701374587102326	
11A	2	b	126.614016	130.570704	127.932912	3.9566879999999998	-0.16009487442725456	128.59236	1.9783439999999999	-0.6149051251518467	
11A	4	a	131.230152	147.716352	144.419112	16.486199999999997	1.4039408753012816	139.143528	8.243099999999998	21.378746847169673	
11A	4	a	148.3758	168.15924	151.67304	19.783440000000013	0.35203996671962523	158.26752	9.891720000000007	5.170513829205966	
11A	4	a	168.818688	174.094272	168.818688	5.275583999999981	0.05982551454274665	171.45648	2.6377919999999904	0.23304926239631452	
11A	4	a	174.75372	180.688752	176.732064	5.935032000000007	0.09460828020984424	177.391512	2.9675160000000034	0.3985989365090472	
11A	4	a	181.3482	209.045016	197.8344	27.696816000000013	0.5673972146901236	195.196608	13.848408000000006	9.228627509581772	
11A	4	a	209.704464	222.233976	214.3206	12.529512000000011	0.21130690472716962	215.639496	6.2647560000000055	1.9186056158049785	
11A	2	b	224.21232	228.828456	226.190664	4.616135999999983	-0.06389641681775515	226.190664	2.3080679999999916	-0.20084643543500325	
11A	4	a	231.466248	234.10404	233.444592	2.6377919999999904	0.037502908245150124	232.785144	1.3188959999999952	0.07024085541721159	
11A	4	a	234.763488	237.40128	236.741832	2.637792000000019	0.05963393849960452	236.082384	1.3188960000000094	0.13634752058714605	
11A	4	a	240.039072	242.676864	240.039072	2.6377919999999904	0.031909434371212075	241.357968	1.3188959999999952	0.06795914225295152	
