										AB_Fed#9_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
11A	4	a	5.332932	8.295672	5.332932	2.96274	0.059955400561197525	6.518028	1.48137	0.13212438506616886	
11A	4	a	8.88822	27.257208	23.70192	18.368987999999998	0.6937647756435834	17.77644	9.184493999999999	8.665186822815818	
11A	4	a	27.849756	33.775236	29.6274	5.92548	0.14200475360823717	30.812496	2.96274	0.6707016233392087	
11A	4	a	35.55288	61.624992	46.218744	26.072111999999997	0.15965884514968298	48.588936	13.036055999999999	4.904813382298242	
11A	4	a	62.21754	78.216336	74.0685	15.998795999999999	0.4777484087824	69.920664	7.999397999999999	6.145387853084082	
11A	4	a	78.808884	83.549268	79.99398	4.740383999999992	0.12863968360559186	81.179076	2.370191999999996	0.5559947732574559	
11A	4	a	84.141816	90.659844	88.8822	6.518028000000001	0.16147245609548655	87.104556	3.2590140000000005	0.9298768976394145	
11A	4	a	91.252392	106.066092	93.622584	14.813699999999997	0.08741702458609257	98.362968	7.406849999999999	1.1460727096888605	
11A	4	a	106.65864	135.100944	131.545656	28.442303999999993	0.27866454542919117	120.879792	14.221151999999996	5.719154993965745	
11A	4	a	135.693492	152.284836	141.618972	16.59134400000002	0.18066862692353158	143.989164	8.29567200000001	2.7596173546287197	
11A	4	a	154.655028	156.432672	154.655028	1.7776440000000093	0.05923290598351638	155.247576	0.8888220000000047	0.05862999397536317	
11A	4	a	157.02522	159.395412	157.02522	2.370192000000003	0.04036342932444548	158.210316	1.1850960000000015	0.051082847941419374	
11A	4	a	159.98796	164.728344	164.135796	4.740384000000006	0.06155148465166871	162.358152	2.370192000000003	0.2761009052118313	
11A	4	a	165.320892	184.874976	175.986756	19.554084000000017	0.20346236655547578	174.80166	9.777042000000009	3.5660742901197526	
11A	4	a	185.467524	247.685064	239.389392	62.217540000000014	0.5978774489925942	216.28002	31.108770000000007	25.037009450777493	
11A	4	a	248.277612	274.942272	260.128572	26.664659999999998	0.1775193492887297	261.313668	13.332329999999999	4.67534452760575	
11A	4	a	277.312464	296.274	289.163424	18.961536000000024	1.6627952728435442	286.793232	9.480768000000012	20.63441394533849	
11A	4	a	296.866548	314.05044	303.977124	17.183891999999958	0.16541085208861972	305.16222	8.591945999999979	2.3463721369860266	
11A	4	a	314.642988	325.9014	317.01318	11.258412000000021	0.09825945090687416	319.97592	5.629206000000011	0.8018017601674454	
11A	2	b	327.679044	331.82688	330.049236	4.147836000000041	-0.12505320431647826	329.456688	2.0739180000000204	-0.5777057295205912	
11A	4	a	332.419428	341.900196	337.159812	9.480768000000012	0.8311691118112616	337.159812	4.740384000000006	8.798409868943454	
11A	4	a	342.492744	357.898992	347.825676	15.406248000000005	0.2606215870233215	350.195868	7.7031240000000025	3.7422421198079365	
12A	4	a	0.0	11.258412	4.147836	11.258412	0.22730956394355406	5.332932	5.629206	3.138010473829391	
12A	4	a	13.628604	15.406248	14.221152	1.7776440000000004	0.019389280195402314	14.221152	0.8888220000000002	0.032921270302915584	
12A	4	a	15.998796	27.257208	24.294468	11.258411999999998	0.1890107079169585	21.331728	5.629205999999999	1.7337458699001367	
12A	4	a	27.849756	31.405044	29.6274	3.555288000000001	0.10238642176647605	29.6274	1.7776440000000004	0.2525867345509061	
12A	4	a	31.997592	45.033648	38.51562	13.036055999999999	0.276938969723421	38.51562	6.518027999999999	2.6875413882817987	
12A	4	a	45.626196	56.884608	49.181484	11.258412	0.08430491452234001	50.959128	5.629206	0.9723893762104514	
12A	4	a	57.477156	63.995184	59.2548	6.518028000000001	0.07922229919607604	60.439896	3.2590140000000005	0.49000555194105977	
12A	4	a	64.587732	72.883404	68.735568	8.295671999999996	0.07052860200948974	68.735568	4.147835999999998	0.5010112481113318	
12A	4	a	73.475952	78.808884	77.623788	5.332932	0.16842877834415226	75.846144	2.666466	0.9677727110410748	
12A	4	a	79.401432	102.510804	85.326912	23.109371999999993	0.3125181738622649	90.659844	11.554685999999997	5.786981502815289	
12A	4	a	104.880996	141.026424	134.508396	36.145427999999995	0.3116166731224337	122.657436	18.072713999999998	6.324294725115539	
12A	4	a	141.618972	161.173056	153.469932	19.55408399999999	0.16435465959478446	151.09974	9.777041999999994	2.9958888854644643	
12A	4	a	161.765604	198.50358	188.430264	36.737976	0.28980227291115934	180.134592	18.368988	6.462703386095121	
12A	4	a	199.096128	214.502376	207.984348	15.406248000000005	0.1124977584626512	206.799252	7.7031240000000025	1.4440020612138613	
12A	4	a	215.094924	238.204296	223.390596	23.109372000000008	0.12324576410210675	226.353336	11.554686000000004	2.4295726127171133	
12A	4	a	238.796844	257.165832	245.90742	18.36898800000003	0.3341817349489422	247.685064	9.184494000000015	4.865489678220495	
12A	2	b	258.943476	285.608136	279.682656	26.664660000000026	-0.20069542091061487	271.979532	13.332330000000013	-4.486561743645108	
12A	4	a	286.200684	306.347316	290.941068	20.146631999999954	1.2502611042063476	296.274	10.073315999999977	14.544107722850885	
12A	2	b	306.939864	308.717508	308.12496	1.7776440000000093	-0.05475734766914675	307.532412	0.8888220000000047	-0.041960864218767435	
12A	2	b	309.310056	337.159812	332.419428	27.849756000000014	-0.1893793467644156	322.93866	13.924878000000007	-5.377062115082732	
12A	4	a	337.75236	352.56606	341.307648	14.813699999999983	0.5777070874522576	344.862936	7.4068499999999915	4.8268815447319895	
12A	4	a	353.158608	360.269184	359.676636	7.1105759999999805	0.11717169602701061	356.713896	3.5552879999999902	0.8785556303983297	
13A	4	a	1.185096	2.96274	1.185096	1.7776440000000002	0.019756569934032076	1.777644	0.8888220000000001	0.019291104516808932	
13A	4	a	3.555288	11.258412	8.295672	7.703124	0.1106159344729849	7.110576	3.851562	0.8056687699000107	
13A	4	a	11.85096	13.628604	11.85096	1.7776439999999987	0.027490649459325223	12.443508	0.8888219999999993	0.04561832660204579	
13A	4	a	14.221152	34.960332	26.66466	20.73918	0.5920635429589125	24.294468	10.36959	8.236189592816306	
13A	4	a	37.330524	40.293264	37.923072	2.9627400000000037	0.08832465499849862	38.51562	1.4813700000000019	0.21701370549824128	
13A	4	a	44.4411	87.104556	78.808884	42.663456000000004	0.6324524763351151	65.772828	21.331728000000002	15.351896358417905	
13A	4	a	87.697104	120.879792	103.103352	33.182688	0.17402640066813335	104.288448	16.591344	5.782033728940112	
13A	4	a	123.249984	142.21152	135.693492	18.96153600000001	0.19216785483433574	132.730752	9.480768000000005	2.5466481564731778	
13A	4	a	142.804068	145.766808	145.17426	2.9627399999999966	0.03772338401935116	143.989164	1.4813699999999983	0.05898599011137495	
13A	4	a	146.359356	189.022812	181.912236	42.663456	0.18859434078765913	167.691084	21.331728	7.133340936872947	
13A	4	a	189.61536	194.355744	191.393004	4.7403839999999775	0.09076861401897318	191.985552	2.3701919999999888	0.4125351701109081	
13A	4	a	196.133388	197.911032	196.133388	1.7776440000000093	0.026089953264685217	196.725936	0.8888220000000047	0.039495506791137114	
13A	4	a	199.688676	215.094924	208.576896	15.406248000000005	0.08692316657527899	207.3918	7.7031240000000025	0.94011360082549	
13A	4	a	216.872568	220.427856	219.24276	3.5552879999999902	0.05554697636999162	218.650212	1.7776439999999951	0.14208721705961969	
13A	4	a	222.798048	232.278816	225.760788	9.480768000000012	0.07335329078638964	227.538432	4.740384000000006	0.47022068240486514	
13A	4	a	232.871364	243.537228	237.0192	10.665864	0.1273950893335436	238.204296	5.332932	1.42385333590675	
13A	4	a	245.314872	259.536024	253.017996	14.22115199999999	0.16046273797359722	252.425448	7.110575999999995	1.4653119354600583	
13A	4	a	260.128572	304.569672	293.31126	44.441100000000006	1.3403977453819294	282.052848	22.220550000000003	11.704733865172464	
13A	4	a	305.16222	311.680248	308.717508	6.518028000000015	0.05958894492446376	308.12496	3.2590140000000076	0.32314750854378405	
13A	4	a	312.272796	314.05044	312.272796	1.7776439999999525	0.039719196501101894	312.865344	0.8888219999999762	0.03945808633077652	
13A	4	a	317.01318	326.493948	320.568468	9.480768000000012	0.08415549569278324	321.753564	4.740384000000006	0.6979645581602998	
13A	4	a	327.086496	332.419428	331.234332	5.332931999999971	0.072472127534009	329.456688	2.6664659999999856	0.2987401605103013	
13A	4	a	333.011976	360.269184	342.492744	27.25720799999999	0.5312001375983022	346.64058	13.628603999999996	4.7345465122936545	
14A	4	a	0.0	2.370192	1.185096	2.370192	0.06744803604748828	1.185096	1.185096	0.12651612343647844	
14A	4	a	2.96274	14.8137	8.295672	11.85096	0.1008114468231609	8.88822	5.92548	0.8129869992651257	
14A	4	a	15.406248	38.51562	29.6274	23.109372	0.46946491955118397	26.66466	11.554686	8.11379334722204	
14A	4	a	39.108168	87.104556	81.179076	47.996388	0.5695404356650764	62.810088	23.998194	21.12661911406944	
14A	4	a	88.8822	122.064888	103.6959	33.182688	0.25162561683133955	105.473544	16.591344	7.595254834713845	
14A	4	a	122.657436	127.990368	125.620176	5.332932	0.06625257364735315	125.027628	2.666466	0.24724423313791832	
14A	4	a	128.582916	144.581712	137.471136	15.998795999999999	0.30940969476050784	136.28604	7.999397999999999	3.7346489435393826	
14A	4	a	146.359356	164.728344	154.06248	18.368988	0.1787011168086896	155.247576	9.184494	3.433153235322365	
14A	4	a	165.320892	175.394208	169.468728	10.073316000000005	0.07483787113895835	170.061276	5.036658000000003	0.7483044953947047	
14A	4	a	175.986756	178.949496	177.171852	2.9627399999999966	0.04201467045914953	177.171852	1.4813699999999983	0.1018158992627729	
14A	4	a	179.542044	190.800456	186.060072	11.258411999999993	0.25955448763874056	184.874976	5.629205999999996	2.4392711945817593	
14A	4	a	191.393004	241.759584	194.355744	50.36658	0.18629441799680935	216.28002	25.18329	9.2759842454781	
14A	4	a	242.352132	246.499968	244.129776	4.147835999999984	0.13344894226391846	244.129776	2.073917999999992	0.5048865093812391	
14A	4	a	247.092516	261.906216	255.980736	14.813699999999983	0.13305079319361512	254.203092	7.4068499999999915	1.670277868253612	
14A	4	a	262.498764	264.276408	262.498764	1.7776440000000093	0.08810849975310209	263.091312	0.8888220000000047	0.0771762850860358	
14A	4	a	264.868956	267.831696	264.868956	2.9627399999999966	0.027712924440784548	266.054052	1.4813699999999983	0.0569285657461287	
14A	4	a	268.424244	270.794436	268.424244	2.3701920000000314	0.04064472491613813	269.60934	1.1850960000000157	0.0677839269279743	
14A	4	a	271.386984	273.757176	271.979532	2.3701920000000314	0.08237190890585921	272.57208	1.1850960000000157	0.11987863085670925	
14A	2	b	279.682656	283.237944	280.867752	3.5552880000000187	-0.04872448040769228	281.4603	1.7776440000000093	-0.13060554766282562	
14A	2	b	283.830492	291.533616	289.163424	7.7031240000000025	-0.09125507019689705	287.38578	3.8515620000000013	-0.5569082598100772	
14A	4	a	292.126164	303.977124	295.088904	11.850959999999986	2.21846909889124	298.051644	5.925479999999993	16.839604436100082	
14A	4	a	304.569672	314.05044	309.902604	9.480767999999955	0.09253036218887178	309.310056	4.7403839999999775	0.8008006971320589	
14A	4	a	314.642988	325.308852	317.01318	10.665864	0.09041413035972568	319.97592	5.332932	1.0147811016087869	
14A	4	a	325.9014	327.679044	327.086496	1.7776439999999525	0.08785507546945848	326.493948	0.8888219999999762	0.07426267810878162	
14A	4	a	328.271592	330.641784	329.456688	2.3701919999999745	0.043023863886119784	329.456688	1.1850959999999873	0.08820136036023785	
14A	4	a	331.234332	337.159812	336.567264	5.925479999999993	0.06279208824659133	334.197072	2.9627399999999966	0.32837453273505623	
14A	4	a	337.75236	355.5288	344.270388	17.77643999999998	0.7737262708544206	346.64058	8.88821999999999	5.6573721169605795	
14A	4	a	356.121348	359.084088	356.121348	2.9627399999999966	0.046000730125062006	357.306444	1.4813699999999983	0.12440366891417654	
15A	4	a	0.0	14.8137	13.036056	14.8137	0.08662849045486665	7.110576	7.40685	1.287944438686431	
15A	4	a	15.406248	23.109372	21.924276	7.703124000000001	0.07100463316617978	18.961536	3.8515620000000004	0.4623409885934475	
15A	4	a	23.70192	28.442304	26.66466	4.740383999999999	0.10700118679276072	26.072112	2.3701919999999994	0.507661492089911	
15A	4	a	29.034852	52.736772	38.51562	23.70192	0.36385625695962753	40.885812	11.85096	5.908403033831562	
15A	4	a	53.32932	56.884608	53.32932	3.5552879999999973	0.04107309027683659	55.106964	1.7776439999999987	0.0880916785979089	
15A	4	a	57.477156	59.847348	59.2548	2.370191999999996	0.04573001538971777	58.662252	1.185095999999998	0.06702472853871355	
15A	2	b	61.624992	63.995184	62.21754	2.370192000000003	-0.033938399313425904	62.810088	1.1850960000000015	-0.05809750061102292	
15A	4	a	68.14302	71.10576	69.328116	2.9627399999999966	0.05556376888821335	69.328116	1.4813699999999983	0.11976518094826538	
15A	4	a	71.698308	74.661048	72.290856	2.9627399999999966	0.05701285490633312	72.883404	1.4813699999999983	0.11454708975964145	
15A	4	a	75.253596	77.623788	75.253596	2.370192000000003	0.030261474992175685	76.438692	1.1850960000000015	0.06055628415180281	
15A	4	a	78.216336	100.73316	89.474748	22.516824	0.20314628622513586	89.474748	11.258412	3.4088582355266537	
15A	4	a	101.325708	108.436284	101.918256	7.110575999999995	0.07123984405139394	104.880996	3.5552879999999973	0.4107478558076214	
15A	4	a	109.028832	114.954312	109.028832	5.925480000000007	0.05893818389717076	111.991572	2.9627400000000037	0.2878556211381458	
15A	4	a	115.54686	127.39782	121.47234	11.85096	0.0786110300248044	121.47234	5.92548	0.7582793523005962	
15A	4	a	127.990368	131.545656	129.768012	3.5552880000000044	0.05985799231402389	129.768012	1.7776440000000022	0.15829166764568403	
15A	4	a	134.508396	138.063684	135.693492	3.5552879999999902	0.053510535387795155	136.28604	1.7776439999999951	0.1333992336667973	
15A	4	a	140.433876	152.877384	145.17426	12.443508000000008	0.20000727304459653	146.359356	6.221754000000004	2.24657850990173	
15A	4	a	153.469932	158.802864	156.432672	5.332932	0.0408333117442603	155.840124	2.666466	0.21568500669735546	
15A	4	a	159.395412	165.91344	163.543248	6.518028000000015	0.06965627217383474	162.358152	3.2590140000000076	0.3417327485794337	
15A	4	a	166.505988	168.87618	167.691084	2.370192000000003	0.03158585572323247	167.691084	1.1850960000000015	0.07374163702899139	
15A	4	a	169.468728	175.986756	169.468728	6.518028000000015	0.06682907943243377	172.431468	3.2590140000000076	0.2954857264820858	
15A	4	a	176.579304	178.356948	177.7644	1.777643999999981	0.05516002319063462	177.171852	0.8888219999999905	0.05852214766963759	
15A	4	a	178.949496	182.504784	178.949496	3.5552879999999902	0.05229607044403872	180.72714	1.7776439999999951	0.1409612530163631	
15A	4	a	183.097332	186.060072	184.282428	2.9627399999999966	0.06275999658277787	184.282428	1.4813699999999983	0.13989778496044591	
15A	4	a	186.65262	198.50358	192.5781	11.850959999999986	0.13741190531803493	192.5781	5.925479999999993	1.4749817306435813	
15A	4	a	199.096128	202.058868	199.688676	2.9627399999999966	0.05190526803285245	200.281224	1.4813699999999983	0.1514728675861159	
15A	4	a	202.651416	204.42906	203.243964	1.777643999999981	0.07163229304422414	203.243964	0.8888219999999905	0.10983225373940697	
15A	4	a	206.206704	209.169444	207.984348	2.9627399999999966	0.05831792544093917	207.3918	1.4813699999999983	0.14036938440350544	
15A	4	a	209.761992	214.502376	213.31728	4.740384000000006	0.07145032000621399	212.132184	2.370192000000003	0.29014542306171953	
15A	4	a	215.094924	216.872568	216.28002	1.7776440000000093	0.05799336063729399	215.687472	0.8888220000000047	0.03028475607717951	
15A	4	a	219.835308	221.612952	221.020404	1.7776440000000093	0.03869054843721731	220.427856	0.8888220000000047	0.04196449823853077	
