										AB_Unfed#1_Anterograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
13A	4	a	250.111968	267.831072	259.653024	17.719104000000016	0.06818710948449036	258.97152	8.859552000000008	0.7119751842475606	
13A	4	a	268.512576	273.964608	271.920096	5.452031999999974	0.04577120777367316	271.238592	2.726015999999987	0.15401869512916633	
13A	4	a	274.646112	297.135744	279.41664	22.489631999999972	0.08209665102271702	285.550176	11.244815999999986	1.2170163743580045	
13A	4	a	297.817248	314.854848	305.995296	17.037599999999998	0.09476451426639709	305.995296	8.518799999999999	1.159373186267155	
13A	4	a	315.536352	320.30688	317.580864	4.770527999999956	0.041514207099738965	317.580864	2.385263999999978	0.12050368828245317	
13A	4	a	320.988384	333.255456	329.166432	12.267071999999985	0.05469904565538153	327.12192	6.133535999999992	0.3933411899768646	
13A	4	a	335.981472	338.707488	336.662976	2.7260160000000155	0.03282180384859945	337.34448	1.3630080000000078	0.06588487460286185	
13A	4	a	339.388992	375.508704	357.7896	36.11971200000005	0.2815827804411868	357.108096	18.059856000000025	4.815072543368024	
13A	4	a	381.64224	404.813376	387.094272	23.17113599999999	0.11790752033232255	393.227808	11.585567999999995	2.2679942043881085	
13A	4	a	405.49488	417.761952	412.30992	12.267071999999985	0.16431331518706416	411.628416	6.133535999999992	1.3668229197981476	
13A	4	a	418.443456	420.487968	419.806464	2.0445119999999974	0.007212818630706552	419.12496	1.0222559999999987	0.007296598738501081	
13A	4	a	422.53248	440.251584	427.303008	17.71910399999996	0.13157262864478714	431.392032	8.85955199999998	1.9097427440869437	
13A	4	a	440.933088	466.148736	458.652192	25.215647999999987	0.06782237443754524	453.20016	12.607823999999994	1.1612828034485378	
13A	4	a	466.83024	472.963776	470.919264	6.133535999999992	0.0354844497671456	469.556256	3.066767999999996	0.22965933351250567	
13A	4	a	473.64528	493.408896	485.912352	19.763616000000013	0.09688760585257827	483.186336	9.881808000000007	1.4867253128614863	
13A	4	a	494.0904	504.31296	494.771904	10.222559999999987	0.04203645578098092	498.860928	5.111279999999994	0.35620328381678434	
13A	4	a	504.994464	519.306048	514.53552	14.311584000000039	0.060036144154135496	511.809504	7.1557920000000195	0.6118659821135148	
13A	4	a	519.987552	552.699744	539.069664	32.71219199999996	0.13537033474643767	536.343648	16.35609599999998	2.940156434516873	
13A	4	a	553.381248	558.83328	556.107264	5.452031999999917	0.04634379027901425	556.107264	2.7260159999999587	0.20314927052940157	
13A	4	a	559.514784	574.507872	567.692832	14.993088000000057	0.049278538372844016	567.011328	7.4965440000000285	0.692397978120237	
