										AB_Unfed#4_Retrograde_evts_formatted.txt
ROI	Quadrant	Direction	Start time (s)	End time (s)	Peak time (s)	Duration (s)	Amplitude	Midpoint (s)	Half Duration(s)	AUC
2A	2	b	111.887568	113.95956	113.268896	2.0719919999999945	-1.2725630617122903	112.578232	1.0359959999999973	-1.5472762836183431	
2A	2	b	114.650224	116.722216	116.031552	2.0719920000000087	-1.8249889483662898	115.340888	1.0359960000000044	-2.406033678097529	
2A	2	b	117.41288	121.556864	118.794208	4.143984000000003	-2.24036064606679	119.484872	2.0719920000000016	-6.646635427347654	
2A	2	b	122.247528	125.010184	122.247528	2.7626559999999927	-1.4423331022968569	123.628856	1.3813279999999963	-2.7191340788075617	
2A	2	b	125.700848	131.916824	128.463504	6.215975999999998	-2.3522597178667226	128.463504	3.107987999999999	-8.12200414049527	
2A	2	b	132.607488	138.823464	135.370144	6.215976000000012	-1.334926900265991	135.370144	3.107988000000006	-7.494548921408738	
2A	2	b	141.58612	143.658112	142.967448	2.0719919999999945	-0.7596790087623653	142.276784	1.0359959999999973	-0.549360931249609	
2A	2	b	147.111432	152.636744	149.183424	5.525311999999985	-1.7114358094464635	149.874088	2.7626559999999927	-7.697918065425142	
2A	2	b	153.327408	160.234048	154.708736	6.90664000000001	-1.8638548270265503	156.780728	3.453320000000005	-10.76833000868478	
2A	2	b	164.378032	171.975336	167.140688	7.597304000000008	-2.7961735051752843	167.831352	3.798652000000004	-15.325303954951542	
2A	2	b	172.666	180.953968	176.809984	8.287968000000006	-1.6545458143291647	176.809984	4.143984000000003	-11.774440211282222	
2A	2	b	181.644632	194.767248	187.169944	13.122615999999994	-4.506766338455645	187.860608	6.561307999999997	-40.485730049357045	
2A	2	b	195.457912	202.364552	195.457912	6.90664000000001	-3.355768020128071	198.911232	3.453320000000005	-15.8234183472881	
2A	2	b	205.127208	223.775136	208.580528	18.647928000000007	-6.904879311798382	214.10584	9.323964000000004	-78.38325579738887	
2A	2	b	224.4658	239.660408	231.37244	15.194607999999988	-6.400963729732814	232.063104	7.597303999999994	-60.11409525365889	
