ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
6A,4421148.000000,2641.068100,4095.000000,34.000000,4061.000000,1630.408034,4891.224103,2606547.000000,1557.077061,2442.000000,213.000000,2229.000000,761.662283,2284.986849,25.788928,t039_0_1
7A,3985173.000000,2380.629032,4095.000000,28.000000,4067.000000,1607.572468,4822.717403,2614377.000000,1561.754480,2445.000000,222.000000,2223.000000,684.478242,2053.434726,25.788928,t039_0_1
8A,2547570.000000,1521.845878,4095.000000,84.000000,4011.000000,1231.033056,3693.099168,2599159.000000,1552.663680,2465.000000,228.000000,2237.000000,736.252969,2208.758908,25.788928,t039_0_1
9A,2347041.000000,1402.055556,4095.000000,29.000000,4066.000000,1242.967001,3728.901004,2565914.000000,1532.804062,2472.000000,232.000000,2240.000000,697.458236,2092.374709,25.788928,t039_0_1
10A,2740945.000000,1637.362605,4095.000000,34.000000,4061.000000,1391.289218,4173.867655,2553993.000000,1525.682796,2478.000000,243.000000,2235.000000,756.005846,2268.017538,25.788928,t039_0_1
11A,2858639.000000,1707.669654,4095.000000,61.000000,4034.000000,1470.812488,4412.437464,2551977.000000,1524.478495,2486.000000,245.000000,2241.000000,704.861327,2114.583982,25.788928,t039_0_1
12A,2879291.000000,1720.006571,4095.000000,30.000000,4065.000000,1566.813186,4700.439559,2629683.000000,1570.897849,2500.000000,270.000000,2230.000000,634.544729,1903.634186,25.788928,t039_0_1
13A,2811591.000000,1679.564516,4095.000000,30.000000,4065.000000,1581.907328,4745.721983,2675685.000000,1598.378136,2514.000000,263.000000,2251.000000,717.885563,2153.656690,25.788928,t039_0_1
14A,2154102.000000,1286.799283,4095.000000,30.000000,4065.000000,1348.656105,4045.968314,2966877.000000,1772.327957,2524.000000,255.000000,2269.000000,647.919559,1943.758676,25.788928,t039_0_1
15A,1468376.000000,877.166069,4095.000000,29.000000,4066.000000,959.398577,2878.195731,3062627.000000,1829.526284,2537.000000,272.000000,2265.000000,661.895969,1985.687906,25.788928,t039_0_1
16A,1400467.000000,836.599164,4095.000000,50.000000,4045.000000,914.749284,2744.247851,2926516.000000,1748.217443,2540.000000,273.000000,2267.000000,695.988905,2087.966715,25.788928,t039_0_1
17A,1256825.000000,750.791517,4095.000000,27.000000,4068.000000,984.500166,2953.500499,3279970.000000,1959.360812,2541.000000,589.000000,1952.000000,472.754731,1418.264194,25.788928,t039_0_1
18A,874728.000000,522.537634,4095.000000,29.000000,4066.000000,478.249950,1434.749849,3246963.000000,1939.643369,2546.000000,265.000000,2281.000000,699.523284,2098.569851,25.788928,t039_0_1
19A,567476.000000,338.994026,1226.000000,28.000000,1198.000000,222.401434,667.204302,3791512.000000,2264.941458,2561.000000,1461.000000,1100.000000,147.940118,443.820354,25.788928,t039_0_1
20A,65354.000000,39.040621,197.000000,24.000000,173.000000,18.510181,55.530542,4152034.000000,2480.307049,2512.000000,2452.000000,60.000000,8.999541,26.998624,25.788928,t039_0_1
1A,3608396.000000,2155.553166,4095.000000,81.000000,4014.000000,1507.413775,4522.241325,2270217.000000,1356.163082,2437.000000,200.000000,2237.000000,636.150105,1908.450315,26.467584,t040_0_1
2A,4338480.000000,2591.684588,4095.000000,83.000000,4012.000000,1514.627168,4543.881504,2396289.000000,1431.474910,2447.000000,216.000000,2231.000000,541.321069,1623.963208,26.467584,t040_0_1
