ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
11A,205607.000000,122.823775,393.000000,28.000000,365.000000,62.447096,187.341288,2982979.000000,1781.946834,1855.000000,1684.000000,171.000000,19.650900,58.952700,1.090980,t004_0_1
1A,3391579.000000,2026.032855,4095.000000,31.000000,4064.000000,1596.262912,4788.788735,1965656.000000,1174.227001,1642.000000,246.000000,1396.000000,355.653102,1066.959306,1.454640,t005_0_1
2A,3624625.000000,2165.247909,4095.000000,29.000000,4066.000000,1677.464965,5032.394895,1967029.000000,1175.047192,1721.000000,246.000000,1475.000000,343.534327,1030.602980,1.454640,t005_0_1
3A,3755674.000000,2243.532855,4095.000000,31.000000,4064.000000,1583.963459,4751.890378,1871361.000000,1117.897849,1656.000000,296.000000,1360.000000,311.305855,933.917565,1.454640,t005_0_1
4A,3298581.000000,1970.478495,4095.000000,31.000000,4064.000000,1671.063400,5013.190201,2163232.000000,1292.253286,1774.000000,273.000000,1501.000000,322.960468,968.881404,1.454640,t005_0_1
5A,1302399.000000,778.016129,4095.000000,32.000000,4063.000000,745.449497,2236.348491,2360827.000000,1410.290920,1845.000000,334.000000,1511.000000,299.920343,899.761030,1.454640,t005_0_1
6A,767855.000000,458.694743,2298.000000,32.000000,2266.000000,312.598153,937.794458,2492400.000000,1488.888889,1888.000000,441.000000,1447.000000,299.747677,899.243031,1.454640,t005_0_1
7A,1356427.000000,810.290920,3731.000000,31.000000,3700.000000,708.805588,2126.416764,2509459.000000,1499.079450,1814.000000,461.000000,1353.000000,217.884864,653.654591,1.454640,t005_0_1
8A,1766232.000000,1055.096774,3310.000000,35.000000,3275.000000,766.083456,2298.250368,2598565.000000,1552.308841,1845.000000,726.000000,1119.000000,194.954615,584.863845,1.454640,t005_0_1
9A,2262843.000000,1351.758065,3778.000000,103.000000,3675.000000,734.924946,2204.774839,2729092.000000,1630.281959,1918.000000,1140.000000,778.000000,149.154573,447.463718,1.454640,t005_0_1
