ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
5A,947663.000000,566.106930,4095.000000,24.000000,4071.000000,860.620937,2581.862810,2136556.000000,1276.317802,1970.000000,286.000000,1684.000000,441.039079,1323.117236,51.631360,t111_0_1
6A,846754.000000,505.826762,4095.000000,27.000000,4068.000000,785.045507,2355.136521,1782971.000000,1065.096177,1717.000000,282.000000,1435.000000,368.270730,1104.812190,51.631360,t111_0_1
7A,846347.000000,505.583632,4095.000000,27.000000,4068.000000,830.199455,2490.598366,2301472.000000,1374.833931,1838.000000,487.000000,1351.000000,346.393522,1039.180565,51.631360,t111_0_1
8A,877803.000000,524.374552,4071.000000,27.000000,4044.000000,774.097558,2322.292675,2268075.000000,1354.883513,1811.000000,526.000000,1285.000000,269.824402,809.473207,51.631360,t111_0_1
9A,709650.000000,423.924731,3680.000000,28.000000,3652.000000,522.294578,1566.883734,2568506.000000,1534.352449,1941.000000,633.000000,1308.000000,227.287293,681.861880,51.631360,t111_0_1
10A,478283.000000,285.712664,1235.000000,26.000000,1209.000000,187.061131,561.183392,2855557.000000,1705.828554,1976.000000,1477.000000,499.000000,73.414959,220.244876,51.631360,t111_0_1
11A,131723.000000,78.687575,348.000000,25.000000,323.000000,46.915489,140.746466,3257427.000000,1945.894265,2049.000000,1880.000000,169.000000,24.026025,72.078075,51.631360,t111_0_1
1A,2612155.000000,1560.427121,4095.000000,28.000000,4067.000000,1529.891584,4589.674751,2181029.000000,1302.884707,1874.000000,233.000000,1641.000000,450.891767,1352.675300,52.100736,t112_0_1
2A,2128456.000000,1271.479092,4095.000000,26.000000,4069.000000,1516.651970,4549.955909,2191302.000000,1309.021505,1818.000000,278.000000,1540.000000,446.098626,1338.295878,52.100736,t112_0_1
3A,2244099.000000,1340.560932,4095.000000,28.000000,4067.000000,1557.387273,4672.161819,2341105.000000,1398.509558,1901.000000,361.000000,1540.000000,404.765571,1214.296713,52.100736,t112_0_1
4A,1889909.000000,1128.977897,4095.000000,26.000000,4069.000000,1487.852950,4463.558850,2358910.000000,1409.145759,2006.000000,350.000000,1656.000000,415.876208,1247.628625,52.100736,t112_0_1
5A,953340.000000,569.498208,4095.000000,27.000000,4068.000000,856.766767,2570.300301,2158695.000000,1289.543011,1971.000000,288.000000,1683.000000,436.893586,1310.680758,52.100736,t112_0_1
6A,864121.000000,516.201314,3965.000000,28.000000,3937.000000,799.682911,2399.048733,1818150.000000,1086.111111,1708.000000,299.000000,1409.000000,363.554731,1090.664194,52.100736,t112_0_1
7A,879241.000000,525.233572,4095.000000,26.000000,4069.000000,838.336151,2515.008452,2294781.000000,1370.836918,1837.000000,493.000000,1344.000000,345.587148,1036.761445,52.100736,t112_0_1
8A,872573.000000,521.250299,3938.000000,27.000000,3911.000000,753.720406,2261.161218,2313016.000000,1381.729988,1819.000000,519.000000,1300.000000,273.508172,820.524517,52.100736,t112_0_1
9A,704538.000000,420.870968,3749.000000,27.000000,3722.000000,517.279022,1551.837066,2517567.000000,1503.922939,1953.000000,630.000000,1323.000000,220.761018,662.283055,52.100736,t112_0_1
10A,474910.000000,283.697730,1414.000000,26.000000,1388.000000,182.908183,548.724548,2857539.000000,1707.012545,1992.000000,1492.000000,500.000000,75.004782,225.014345,52.100736,t112_0_1
11A,128198.000000,76.581840,399.000000,24.000000,375.000000,49.470175,148.410526,3260900.000000,1947.968937,2048.000000,1887.000000,161.000000,23.360972,70.082915,52.100736,t112_0_1
1A,2598054.000000,1552.003584,4095.000000,27.000000,4068.000000,1515.342890,4546.028670,2166878.000000,1294.431302,1874.000000,229.000000,1645.000000,445.824042,1337.472127,52.570112,t113_0_1
2A,2128854.000000,1271.716846,4095.000000,27.000000,4068.000000,1521.139843,4563.419529,2178244.000000,1301.221027,1811.000000,270.000000,1541.000000,448.060800,1344.182400,52.570112,t113_0_1
3A,2207115.000000,1318.467742,4095.000000,29.000000,4066.000000,1545.701784,4637.105351,2374116.000000,1418.229391,1936.000000,378.000000,1558.000000,397.568322,1192.704967,52.570112,t113_0_1
4A,1900423.000000,1135.258662,4095.000000,26.000000,4069.000000,1483.865686,4451.597058,2381936.000000,1422.900836,2008.000000,310.000000,1698.000000,410.588500,1231.765499,52.570112,t113_0_1
5A,950797.000000,567.979092,4095.000000,26.000000,4069.000000,863.098831,2589.296492,2138063.000000,1277.218041,1964.000000,301.000000,1663.000000,439.655525,1318.966575,52.570112,t113_0_1
6A,860419.000000,513.989845,4085.000000,27.000000,4058.000000,793.303550,2379.910650,1760410.000000,1051.618877,1718.000000,288.000000,1430.000000,359.752966,1079.258898,52.570112,t113_0_1
7A,893014.000000,533.461171,4095.000000,27.000000,4068.000000,833.009303,2499.027908,2360882.000000,1410.323775,1851.000000,500.000000,1351.000000,358.882703,1076.648110,52.570112,t113_0_1
8A,794112.000000,474.379928,3592.000000,28.000000,3564.000000,644.863009,1934.589026,2257942.000000,1348.830346,1762.000000,505.000000,1257.000000,256.756715,770.270145,52.570112,t113_0_1
9A,694593.000000,414.930108,4023.000000,28.000000,3995.000000,493.631173,1480.893520,2577657.000000,1539.818996,1970.000000,933.000000,1037.000000,197.161361,591.484083,52.570112,t113_0_1
