ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
9A,1829633.000000,1092.970729,4095.000000,30.000000,4065.000000,1027.045108,3081.135325,2981163.000000,1780.862007,2435.000000,227.000000,2208.000000,634.207955,1902.623866,0.697268,t002_0_1
10A,2182489.000000,1303.756870,4095.000000,31.000000,4064.000000,1191.314463,3573.943390,2893057.000000,1728.229988,2454.000000,221.000000,2233.000000,692.255508,2076.766524,0.697268,t002_0_1
11A,2807577.000000,1677.166667,4095.000000,28.000000,4067.000000,1551.175798,4653.527395,2840188.000000,1696.647551,2458.000000,232.000000,2226.000000,667.210309,2001.630926,0.697268,t002_0_1
12A,2888701.000000,1725.627838,4095.000000,27.000000,4068.000000,1504.649007,4513.947021,2758525.000000,1647.864397,2472.000000,221.000000,2251.000000,725.438123,2176.314368,0.697268,t002_0_1
13A,2708645.000000,1618.067503,4095.000000,29.000000,4066.000000,1455.855106,4367.565319,2730745.000000,1631.269415,2476.000000,242.000000,2234.000000,743.741389,2231.224166,0.697268,t002_0_1
14A,1814738.000000,1084.072879,4095.000000,29.000000,4066.000000,1147.372336,3442.117007,2897664.000000,1730.982079,2492.000000,240.000000,2252.000000,722.326606,2166.979819,0.697268,t002_0_1
15A,1268219.000000,757.597969,3715.000000,28.000000,3687.000000,713.881806,2141.645419,3126402.000000,1867.623656,2500.000000,292.000000,2208.000000,617.580181,1852.740543,0.697268,t002_0_1
16A,678303.000000,405.198925,1882.000000,27.000000,1855.000000,313.120110,939.360331,3251409.000000,1942.299283,2513.000000,293.000000,2220.000000,639.815608,1919.446825,0.697268,t002_0_1
17A,572933.000000,342.253883,1490.000000,27.000000,1463.000000,282.804196,848.412588,3374561.000000,2015.866786,2518.000000,286.000000,2232.000000,592.146071,1776.438214,0.697268,t002_0_1
18A,560718.000000,334.956989,1263.000000,26.000000,1237.000000,288.419971,865.259912,3631928.000000,2169.610514,2524.000000,329.000000,2195.000000,490.189631,1470.568894,0.697268,t002_0_1
19A,518723.000000,309.870370,1930.000000,28.000000,1902.000000,250.641455,751.924366,3840227.000000,2294.042413,2527.000000,1304.000000,1223.000000,162.706037,488.118111,0.697268,t002_0_1
20A,60624.000000,36.215054,178.000000,25.000000,153.000000,15.294024,45.882071,4083834.000000,2439.566308,2471.000000,2404.000000,67.000000,10.367015,31.101044,0.697268,t002_0_1
1A,2374601.000000,1418.519116,4095.000000,33.000000,4062.000000,1066.663092,3199.989277,2741586.000000,1637.745520,1910.000000,933.000000,977.000000,213.483384,640.450151,1.394536,t003_0_1
2A,1571622.000000,938.842294,4093.000000,29.000000,4064.000000,735.389432,2206.168296,2644762.000000,1579.905615,2296.000000,600.000000,1696.000000,391.028808,1173.086424,1.394536,t003_0_1
3A,1777921.000000,1062.079450,3790.000000,28.000000,3762.000000,929.938673,2789.816019,2904345.000000,1734.973118,2339.000000,995.000000,1344.000000,281.655803,844.967410,1.394536,t003_0_1
4A,1735340.000000,1036.642772,3125.000000,26.000000,3099.000000,822.501686,2467.505059,2958018.000000,1767.035842,2387.000000,1072.000000,1315.000000,239.340354,718.021063,1.394536,t003_0_1
5A,2371575.000000,1416.711470,4095.000000,28.000000,4067.000000,1117.044940,3351.134820,2959763.000000,1768.078256,2422.000000,769.000000,1653.000000,326.133748,978.401243,1.394536,t003_0_1
6A,2289237.000000,1367.525090,4095.000000,27.000000,4068.000000,1135.134693,3405.404078,2404204.000000,1436.203106,2414.000000,300.000000,2114.000000,614.531447,1843.594340,1.394536,t003_0_1
