ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
18A,1818851.000000,826.374830,2250.000000,43.000000,3043050.000000,1382.576102,1845.000000,340.000000,2.512800,t005_0_1
19A,842882.000000,382.954112,2052.000000,46.000000,3287358.000000,1493.574739,1922.000000,437.000000,2.512800,t005_0_1
20A,143626.000000,65.254884,166.000000,27.000000,4346865.000000,1974.950023,2058.000000,1892.000000,2.512800,t005_0_1
1A,319609.000000,145.210813,592.000000,24.000000,2869492.000000,1303.721945,2123.000000,839.000000,3.141000,t006_0_1
2A,458439.000000,208.286688,907.000000,25.000000,3229757.000000,1467.404362,2145.000000,949.000000,3.141000,t006_0_1
3A,869422.000000,395.012267,1490.000000,24.000000,3172273.000000,1441.287142,2124.000000,888.000000,3.141000,t006_0_1
4A,1700035.000000,772.392095,2709.000000,24.000000,3139092.000000,1426.211722,2085.000000,906.000000,3.141000,t006_0_1
5A,2140902.000000,972.695139,4055.000000,27.000000,2973769.000000,1351.099046,2048.000000,640.000000,3.141000,t006_0_1
6A,2429306.000000,1103.728305,4095.000000,34.000000,2816591.000000,1279.686960,2012.000000,433.000000,3.141000,t006_0_1
7A,1098336.000000,499.016811,3315.000000,46.000000,2774341.000000,1260.491140,1984.000000,333.000000,3.141000,t006_0_1
8A,1241590.000000,564.102681,2789.000000,58.000000,2896299.000000,1315.901408,1957.000000,260.000000,3.141000,t006_0_1
9A,1394314.000000,633.491140,2876.000000,52.000000,2642306.000000,1200.502499,1899.000000,269.000000,3.141000,t006_0_1
10A,1176103.000000,534.349387,2249.000000,57.000000,2337497.000000,1062.015902,1853.000000,250.000000,3.141000,t006_0_1
11A,1655875.000000,752.328487,2550.000000,80.000000,2520398.000000,1145.114948,1785.000000,270.000000,3.141000,t006_0_1
12A,1991700.000000,904.906861,2776.000000,82.000000,2398298.000000,1089.640164,1686.000000,254.000000,3.141000,t006_0_1
13A,1978154.000000,898.752385,2609.000000,47.000000,2437031.000000,1107.238074,1673.000000,259.000000,3.141000,t006_0_1
14A,1895714.000000,861.296683,2446.000000,71.000000,2644603.000000,1201.546115,1714.000000,252.000000,3.141000,t006_0_1
15A,1738653.000000,789.937756,2431.000000,74.000000,2595522.000000,1179.246706,1753.000000,272.000000,3.141000,t006_0_1
16A,1941397.000000,882.052249,2325.000000,68.000000,2616418.000000,1188.740572,1812.000000,319.000000,3.141000,t006_0_1
17A,1828612.000000,830.809632,2374.000000,57.000000,2733495.000000,1241.933212,1863.000000,298.000000,3.141000,t006_0_1
18A,1810112.000000,822.404362,2362.000000,57.000000,3046386.000000,1384.091776,1869.000000,338.000000,3.141000,t006_0_1
19A,859028.000000,390.289868,2053.000000,42.000000,3290793.000000,1495.135393,1910.000000,424.000000,3.141000,t006_0_1
20A,141877.000000,64.460245,153.000000,27.000000,4350132.000000,1976.434348,2055.000000,1911.000000,3.141000,t006_0_1
1A,319138.000000,144.996820,618.000000,24.000000,2868704.000000,1303.363925,2135.000000,834.000000,3.769200,t007_0_1
2A,463604.000000,210.633348,923.000000,24.000000,3220240.000000,1463.080418,2129.000000,937.000000,3.769200,t007_0_1
3A,865927.000000,393.424353,1519.000000,24.000000,3160931.000000,1436.134030,2125.000000,887.000000,3.769200,t007_0_1
4A,1705955.000000,775.081781,2887.000000,25.000000,3129295.000000,1421.760563,2074.000000,908.000000,3.769200,t007_0_1
5A,2156112.000000,979.605634,4033.000000,29.000000,2970252.000000,1349.501136,2047.000000,635.000000,3.769200,t007_0_1
6A,2489876.000000,1131.247615,4095.000000,31.000000,2808419.000000,1275.974103,2016.000000,431.000000,3.769200,t007_0_1
