ROI ID,Total Intensity,Time,Frame Id
12A,928833,9.480768,t017_0_1
13A,962624,9.480768,t017_0_1
14A,997206,9.480768,t017_0_1
15A,777779,9.480768,t017_0_1
16A,546574,9.480768,t017_0_1
17A,585435,9.480768,t017_0_1
18A,559726,9.480768,t017_0_1
19A,483141,9.480768,t017_0_1
20A,263846,9.480768,t017_0_1
1A,853329,10.073316,t018_0_1
2A,1021187,10.073316,t018_0_1
3A,1504777,10.073316,t018_0_1
4A,2483694,10.073316,t018_0_1
5A,1995420,10.073316,t018_0_1
6A,1286522,10.073316,t018_0_1
7A,1069450,10.073316,t018_0_1
8A,1212938,10.073316,t018_0_1
9A,983981,10.073316,t018_0_1
10A,1027023,10.073316,t018_0_1
11A,960167,10.073316,t018_0_1
12A,946974,10.073316,t018_0_1
13A,987110,10.073316,t018_0_1
14A,1008036,10.073316,t018_0_1
15A,778202,10.073316,t018_0_1
16A,554084,10.073316,t018_0_1
17A,575263,10.073316,t018_0_1
18A,574201,10.073316,t018_0_1
19A,492321,10.073316,t018_0_1
20A,263816,10.073316,t018_0_1
1A,847641,10.665864,t019_0_1
2A,1013558,10.665864,t019_0_1
3A,1496650,10.665864,t019_0_1
4A,2480574,10.665864,t019_0_1
5A,1969421,10.665864,t019_0_1
6A,1292740,10.665864,t019_0_1
7A,1062523,10.665864,t019_0_1
8A,1235527,10.665864,t019_0_1
9A,976869,10.665864,t019_0_1
10A,1010500,10.665864,t019_0_1
11A,984282,10.665864,t019_0_1
12A,932075,10.665864,t019_0_1
13A,994236,10.665864,t019_0_1
14A,990260,10.665864,t019_0_1
15A,776767,10.665864,t019_0_1
16A,559353,10.665864,t019_0_1
17A,553541,10.665864,t019_0_1
18A,578007,10.665864,t019_0_1
19A,496688,10.665864,t019_0_1
20A,264578,10.665864,t019_0_1
1A,854149,11.258412,t020_0_1
2A,1032601,11.258412,t020_0_1
3A,1500543,11.258412,t020_0_1
4A,2479153,11.258412,t020_0_1
5A,1989115,11.258412,t020_0_1
6A,1303966,11.258412,t020_0_1
7A,1074896,11.258412,t020_0_1
8A,1234487,11.258412,t020_0_1
9A,982098,11.258412,t020_0_1
10A,1010102,11.258412,t020_0_1
11A,980951,11.258412,t020_0_1
12A,939209,11.258412,t020_0_1
13A,982987,11.258412,t020_0_1
14A,996938,11.258412,t020_0_1
15A,775748,11.258412,t020_0_1
16A,555749,11.258412,t020_0_1
17A,532610,11.258412,t020_0_1
18A,585849,11.258412,t020_0_1
19A,509195,11.258412,t020_0_1
20A,264470,11.258412,t020_0_1
1A,856278,11.85096,t021_0_1
2A,1033378,11.85096,t021_0_1
3A,1495833,11.85096,t021_0_1
4A,2483631,11.85096,t021_0_1
5A,1988632,11.85096,t021_0_1
6A,1295802,11.85096,t021_0_1
7A,1064957,11.85096,t021_0_1
8A,1238904,11.85096,t021_0_1
9A,975890,11.85096,t021_0_1
10A,1002929,11.85096,t021_0_1
11A,963893,11.85096,t021_0_1
12A,935537,11.85096,t021_0_1
13A,967581,11.85096,t021_0_1
14A,988854,11.85096,t021_0_1
15A,780101,11.85096,t021_0_1
16A,561071,11.85096,t021_0_1
17A,506589,11.85096,t021_0_1
18A,588663,11.85096,t021_0_1
19A,513706,11.85096,t021_0_1
20A,264046,11.85096,t021_0_1
1A,856727,12.443508,t022_0_1
2A,1038871,12.443508,t022_0_1
3A,1499252,12.443508,t022_0_1
4A,2493994,12.443508,t022_0_1
5A,2009434,12.443508,t022_0_1
6A,1301331,12.443508,t022_0_1
7A,1075581,12.443508,t022_0_1
8A,1232618,12.443508,t022_0_1
9A,976508,12.443508,t022_0_1
10A,1010753,12.443508,t022_0_1
11A,971781,12.443508,t022_0_1
12A,919088,12.443508,t022_0_1
13A,987163,12.443508,t022_0_1
14A,994784,12.443508,t022_0_1
15A,775411,12.443508,t022_0_1
16A,563618,12.443508,t022_0_1
17A,500668,12.443508,t022_0_1
18A,582378,12.443508,t022_0_1
19A,517523,12.443508,t022_0_1
20A,263298,12.443508,t022_0_1
1A,857884,13.036056,t023_0_1
2A,1042553,13.036056,t023_0_1
3A,1500402,13.036056,t023_0_1
4A,2491140,13.036056,t023_0_1
5A,2005277,13.036056,t023_0_1
6A,1309578,13.036056,t023_0_1
7A,1071928,13.036056,t023_0_1
8A,1227390,13.036056,t023_0_1
9A,978185,13.036056,t023_0_1
10A,1019996,13.036056,t023_0_1
11A,980206,13.036056,t023_0_1
12A,928943,13.036056,t023_0_1
13A,981014,13.036056,t023_0_1
14A,989504,13.036056,t023_0_1
15A,770417,13.036056,t023_0_1
16A,565613,13.036056,t023_0_1
17A,490653,13.036056,t023_0_1
18A,574321,13.036056,t023_0_1
19A,514614,13.036056,t023_0_1
20A,264364,13.036056,t023_0_1
1A,859021,13.628604,t024_0_1
2A,1038914,13.628604,t024_0_1
3A,1507880,13.628604,t024_0_1
4A,2505865,13.628604,t024_0_1
5A,2004140,13.628604,t024_0_1
6A,1302836,13.628604,t024_0_1
7A,1076715,13.628604,t024_0_1
8A,1224202,13.628604,t024_0_1
9A,980136,13.628604,t024_0_1
10A,1013616,13.628604,t024_0_1
11A,973517,13.628604,t024_0_1
12A,934110,13.628604,t024_0_1
13A,993635,13.628604,t024_0_1
14A,985803,13.628604,t024_0_1
15A,767392,13.628604,t024_0_1
16A,560301,13.628604,t024_0_1
17A,497842,13.628604,t024_0_1
18A,570385,13.628604,t024_0_1
19A,514186,13.628604,t024_0_1
20A,264347,13.628604,t024_0_1
1A,860672,14.221152,t025_0_1
2A,1036479,14.221152,t025_0_1
3A,1499955,14.221152,t025_0_1
4A,2493182,14.221152,t025_0_1
5A,2010863,14.221152,t025_0_1
6A,1312624,14.221152,t025_0_1
7A,1095552,14.221152,t025_0_1
8A,1230409,14.221152,t025_0_1
9A,989785,14.221152,t025_0_1
10A,1009468,14.221152,t025_0_1
11A,965376,14.221152,t025_0_1
12A,919997,14.221152,t025_0_1
13A,971919,14.221152,t025_0_1
14A,975414,14.221152,t025_0_1
15A,757487,14.221152,t025_0_1
