ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
4A,3607978.000000,1639.244889,4095.000000,26.000000,3366304.000000,1529.442980,2123.000000,764.000000,5.525312,t009_0_1
5A,1930607.000000,877.149932,3994.000000,28.000000,3277243.000000,1488.979100,2127.000000,620.000000,5.525312,t009_0_1
6A,2985892.000000,1356.606997,4095.000000,27.000000,3408060.000000,1548.414357,2090.000000,585.000000,5.525312,t009_0_1
7A,3317142.000000,1507.106770,4095.000000,31.000000,3433680.000000,1560.054521,2071.000000,642.000000,5.525312,t009_0_1
8A,2225465.000000,1011.115402,3137.000000,30.000000,3072487.000000,1395.950477,2012.000000,307.000000,5.525312,t009_0_1
9A,1666904.000000,757.339391,3067.000000,33.000000,3154409.000000,1433.170831,1984.000000,504.000000,5.525312,t009_0_1
10A,1038897.000000,472.011358,2634.000000,28.000000,2858428.000000,1298.695139,1950.000000,338.000000,5.525312,t009_0_1
11A,918803.000000,417.447978,2494.000000,28.000000,2985340.000000,1356.356202,1974.000000,319.000000,5.525312,t009_0_1
12A,656660.000000,298.346206,2069.000000,33.000000,3036922.000000,1379.791913,1986.000000,461.000000,5.525312,t009_0_1
13A,742165.000000,337.194457,1933.000000,36.000000,2971171.000000,1349.918673,2007.000000,298.000000,5.525312,t009_0_1
14A,704566.000000,320.111767,1751.000000,37.000000,2948574.000000,1339.651976,2012.000000,316.000000,5.525312,t009_0_1
15A,766434.000000,348.220809,1746.000000,41.000000,2877797.000000,1307.495229,2025.000000,260.000000,5.525312,t009_0_1
16A,750688.000000,341.066788,1847.000000,47.000000,3094136.000000,1405.786461,2031.000000,298.000000,5.525312,t009_0_1
17A,531472.000000,241.468423,1359.000000,46.000000,3207191.000000,1457.151749,2047.000000,349.000000,5.525312,t009_0_1
18A,393837.000000,178.935484,1364.000000,36.000000,3236978.000000,1470.685143,2051.000000,315.000000,5.525312,t009_0_1
19A,277277.000000,125.977737,2346.000000,27.000000,3311117.000000,1504.369378,2052.000000,391.000000,5.525312,t009_0_1
20A,120582.000000,54.785098,129.000000,27.000000,4395735.000000,1997.153567,2043.000000,1944.000000,5.525312,t009_0_1
1A,1648167.000000,748.826443,2561.000000,25.000000,2727650.000000,1239.277601,2132.000000,425.000000,6.215976,t010_0_1
2A,2009456.000000,912.974103,2920.000000,25.000000,3192857.000000,1450.639255,2142.000000,546.000000,6.215976,t010_0_1
3A,2762231.000000,1254.989096,4095.000000,25.000000,3496568.000000,1588.626988,2144.000000,904.000000,6.215976,t010_0_1
4A,3645585.000000,1656.331213,4095.000000,29.000000,3365160.000000,1528.923217,2129.000000,747.000000,6.215976,t010_0_1
5A,1935703.000000,879.465243,3988.000000,27.000000,3271345.000000,1486.299409,2124.000000,632.000000,6.215976,t010_0_1
6A,2999834.000000,1362.941390,4095.000000,27.000000,3407018.000000,1547.940936,2093.000000,588.000000,6.215976,t010_0_1
7A,3324625.000000,1510.506588,3950.000000,29.000000,3423811.000000,1555.570650,2057.000000,637.000000,6.215976,t010_0_1
8A,2237156.000000,1016.427079,3188.000000,33.000000,3076373.000000,1397.716038,2009.000000,305.000000,6.215976,t010_0_1
9A,1673249.000000,760.222172,3039.000000,29.000000,3144969.000000,1428.881872,1978.000000,510.000000,6.215976,t010_0_1
10A,1050092.000000,477.097683,2694.000000,29.000000,2855427.000000,1297.331667,1946.000000,332.000000,6.215976,t010_0_1
11A,902783.000000,410.169468,2605.000000,28.000000,2988775.000000,1357.916856,1974.000000,323.000000,6.215976,t010_0_1
12A,653089.000000,296.723762,2276.000000,32.000000,3015019.000000,1369.840527,1977.000000,479.000000,6.215976,t010_0_1
13A,717387.000000,325.936847,1962.000000,37.000000,2955795.000000,1342.932758,2001.000000,297.000000,6.215976,t010_0_1
14A,709087.000000,322.165834,1805.000000,33.000000,2949700.000000,1340.163562,2018.000000,319.000000,6.215976,t010_0_1
