ROI ID,Total Intensity,Time,Frame Id
18A,1832148,11.9358,t020_0_1
19A,909335,11.9358,t020_0_1
20A,142502,11.9358,t020_0_1
1A,319941,12.564,t021_0_1
2A,465745,12.564,t021_0_1
3A,869123,12.564,t021_0_1
4A,1725881,12.564,t021_0_1
5A,2205275,12.564,t021_0_1
6A,2566701,12.564,t021_0_1
7A,1090595,12.564,t021_0_1
8A,1159604,12.564,t021_0_1
9A,1215942,12.564,t021_0_1
10A,1251562,12.564,t021_0_1
11A,1610871,12.564,t021_0_1
12A,1969065,12.564,t021_0_1
13A,1997902,12.564,t021_0_1
14A,1919047,12.564,t021_0_1
15A,1756749,12.564,t021_0_1
16A,1973805,12.564,t021_0_1
17A,1844165,12.564,t021_0_1
18A,1826870,12.564,t021_0_1
19A,884761,12.564,t021_0_1
20A,141136,12.564,t021_0_1
1A,321746,13.1922,t022_0_1
2A,467631,13.1922,t022_0_1
3A,874473,13.1922,t022_0_1
4A,1733373,13.1922,t022_0_1
5A,2210717,13.1922,t022_0_1
6A,2498384,13.1922,t022_0_1
7A,1084323,13.1922,t022_0_1
8A,1166255,13.1922,t022_0_1
9A,1234900,13.1922,t022_0_1
10A,1257261,13.1922,t022_0_1
11A,1612920,13.1922,t022_0_1
12A,1963334,13.1922,t022_0_1
13A,1989495,13.1922,t022_0_1
14A,1921445,13.1922,t022_0_1
15A,1757799,13.1922,t022_0_1
16A,1964116,13.1922,t022_0_1
17A,1832818,13.1922,t022_0_1
18A,1829452,13.1922,t022_0_1
19A,853769,13.1922,t022_0_1
20A,142089,13.1922,t022_0_1
1A,319508,13.8204,t023_0_1
2A,468421,13.8204,t023_0_1
3A,870936,13.8204,t023_0_1
4A,1724441,13.8204,t023_0_1
5A,2164231,13.8204,t023_0_1
6A,2348691,13.8204,t023_0_1
7A,1093631,13.8204,t023_0_1
8A,1166791,13.8204,t023_0_1
9A,1246484,13.8204,t023_0_1
10A,1259640,13.8204,t023_0_1
11A,1604950,13.8204,t023_0_1
12A,1960294,13.8204,t023_0_1
13A,2008231,13.8204,t023_0_1
14A,1911625,13.8204,t023_0_1
15A,1767932,13.8204,t023_0_1
16A,1974808,13.8204,t023_0_1
17A,1844477,13.8204,t023_0_1
18A,1828686,13.8204,t023_0_1
19A,823536,13.8204,t023_0_1
20A,141261,13.8204,t023_0_1
1A,320641,14.4486,t024_0_1
2A,469604,14.4486,t024_0_1
3A,875883,14.4486,t024_0_1
